MSnDCG@0003	124.0	26.0
NCUrb,P	81.0	69.0
ERP	117.0	33.0
Nor-nDCG-raw-binom	138.0	12.0
Q@0003	129.0	21.0
P-measure	104.0	46.0
Nor-lwfv-exp-step	136.0	14.0
Nor-lwofv-exp-step	140.0	10.0
P-plus	103.0	47.0
O-measure	98.0	52.0
Nor-lwfv-raw-step	137.0	13.0
NCUgu,BR	141.0	9.0
Nor-tbg-exp-step	142.0	8.0
MSnDCG@0005	135.0	15.0
RR	59.0	91.0
ERR	139.0	11.0
nERR@0003	131.0	19.0
Nor-lwofv-raw-step	142.0	8.0
Q@0005	133.0	17.0
Nor-nDCG-exp-step	138.0	12.0
AP@0005	75.0	75.0
AP@0003	72.0	78.0
RBP	139.0	11.0
AP	82.0	68.0
Nor-nDCG-exp-binom	138.0	12.0
Nor-tbg-raw-binom	142.0	8.0
Q-measure	139.0	11.0
Nor-tbg-raw-step	143.0	7.0
Nor-lwfv-exp-binom	137.0	13.0
Nor-lwfv-raw-binom	137.0	13.0
NCUrb,BR	140.0	10.0
Hit@0005	45.0	105.0
Nor-lwofv-raw-binom	142.0	8.0
Hit@0003	48.0	102.0
Nor-nDCG-raw-step	138.0	12.0
nERR@0005	137.0	13.0
P@0005	70.0	80.0
P@0003	70.0	80.0
Nor-lwofv-exp-binom	140.0	10.0
nDCG@0005	130.0	20.0
NCUgu,P	128.0	22.0
Nor-tbg-exp-binom	142.0	8.0
nDCG@0003	122.0	28.0
