MSnDCG@0003	130.0	20.0
NCUrb,P	78.0	72.0
ERP	107.0	43.0
Nor-nDCG-raw-binom	136.0	14.0
Q@0003	131.0	19.0
P-measure	107.0	43.0
Nor-lwfv-exp-step	133.0	17.0
Nor-lwofv-exp-step	136.0	14.0
P-plus	107.0	43.0
O-measure	102.0	48.0
Nor-lwfv-raw-step	135.0	15.0
NCUgu,BR	136.0	14.0
Nor-tbg-exp-step	141.0	9.0
MSnDCG@0005	138.0	12.0
RR	59.0	91.0
ERR	139.0	11.0
nERR@0003	134.0	16.0
Nor-lwofv-raw-step	141.0	9.0
Q@0005	136.0	14.0
Nor-nDCG-exp-step	135.0	15.0
AP@0005	78.0	72.0
AP@0003	71.0	79.0
RBP	135.0	15.0
AP	78.0	72.0
Nor-nDCG-exp-binom	135.0	15.0
Nor-tbg-raw-binom	142.0	8.0
Q-measure	136.0	14.0
Nor-tbg-raw-step	143.0	7.0
Nor-lwfv-exp-binom	133.0	17.0
Nor-lwfv-raw-binom	135.0	15.0
NCUrb,BR	138.0	12.0
Hit@0005	45.0	105.0
Nor-lwofv-raw-binom	141.0	9.0
Hit@0003	48.0	102.0
Nor-nDCG-raw-step	136.0	14.0
nERR@0005	139.0	11.0
P@0005	75.0	75.0
P@0003	70.0	80.0
Nor-lwofv-exp-binom	136.0	14.0
nDCG@0005	134.0	16.0
NCUgu,P	125.0	25.0
Nor-tbg-exp-binom	141.0	9.0
nDCG@0003	127.0	23.0
