taskid	source	resultid	necessity
1	haosou	4	2
1	haosou	0	2
1	haosou	5	2
1	haosou	3	3
1	haosou	11	1
1	haosou	12	1
1	haosou	9	1
1	haosou	2	2
1	haosou	7	3
1	haosou	1	1
1	haosou	6	1
10	sogou	2	2
10	sogou	7	1
10	sogou	8	1
10	sogou	3	2
10	sogou	4	2
10	sogou	6	1
10	sogou	9	2
10	sogou	1	2
10	sogou	0	3
10	sogou	5	2
5	haosou	4	1
5	haosou	1	1
5	haosou	11	1
5	haosou	9	1
5	haosou	5	1
5	haosou	8	1
5	haosou	2	1
5	haosou	3	3
5	haosou	10	1
5	haosou	7	3
5	haosou	12	1
5	haosou	0	1
5	haosou	6	1
8	sogou	7	1
8	sogou	0	1
8	sogou	1	2
8	sogou	2	1
8	sogou	9	1
8	sogou	8	2
8	sogou	6	1
8	sogou	10	2
8	sogou	5	3
8	sogou	4	1
8	sogou	3	1
2	haosou	11	2
2	haosou	9	1
2	haosou	8	3
2	haosou	7	3
2	haosou	3	3
2	haosou	6	3
2	haosou	4	1
2	haosou	1	1
2	haosou	2	1
2	haosou	12	1
2	haosou	10	1
2	haosou	0	1
2	haosou	5	1
3	haosou	9	1
3	haosou	8	2
3	haosou	2	1
3	haosou	2	1
3	haosou	4	1
3	haosou	7	1
3	haosou	10	3
3	haosou	3	1
3	haosou	11	1
3	haosou	5	1
3	haosou	6	1
3	haosou	1	3
3	haosou	0	3
4	haosou	8	1
4	haosou	3	2
4	haosou	1	2
4	haosou	11	1
4	haosou	12	1
4	haosou	10	1
4	haosou	0	2
4	haosou	14	1
4	haosou	6	3
4	haosou	9	1
4	haosou	7	3
4	haosou	5	1
4	haosou	2	1
4	haosou	4	3
4	haosou	13	1
16	sm	3	3
16	sm	6	1
16	sm	9	1
16	sm	11	1
16	sm	8	1
16	sm	4	3
16	sm	0	1
16	sm	7	1
16	sm	2	2
16	sm	10	2
16	sm	5	2
16	sm	1	1
6	sogou	6	1
6	sogou	1	3
6	sogou	5	1
6	sogou	2	1
6	sogou	3	2
6	sogou	8	1
6	sogou	0	2
6	sogou	7	2
6	sogou	9	1
6	sogou	4	2
15	baidu	1	1
15	baidu	2	3
15	baidu	6	1
15	baidu	9	1
15	baidu	10	3
15	baidu	8	1
15	baidu	4	1
15	baidu	3	1
15	baidu	0	1
15	baidu	7	1
15	baidu	5	1
12	baidu	5	1
12	baidu	3	1
12	baidu	4	1
12	baidu	0	1
12	baidu	1	1
12	baidu	2	1
12	baidu	8	1
12	baidu	7	1
12	baidu	6	1
12	baidu	9	1
17	sm	5	3
17	sm	3	1
17	sm	6	1
17	sm	9	1
17	sm	4	1
17	sm	0	1
17	sm	8	1
17	sm	2	1
17	sm	1	1
17	sm	7	1
17	sm	10	1
13	sm	1	3
13	sm	10	1
13	sm	2	1
13	sm	0	2
10	baidu	1	2
10	baidu	4	1
10	baidu	5	2
10	baidu	2	1
10	baidu	9	1
10	baidu	7	2
10	baidu	6	1
10	baidu	3	2
10	baidu	10	3
10	baidu	0	2
10	baidu	8	2
2	sogou	3	1
2	sogou	0	2
2	sogou	8	1
2	sogou	10	1
2	sogou	5	1
2	sogou	4	1
2	sogou	6	3
2	sogou	2	3
2	sogou	1	1
2	sogou	9	1
2	sogou	7	1
19	haosou	5	1
19	haosou	3	3
19	haosou	7	3
19	haosou	4	1
19	haosou	12	1
19	haosou	11	1
19	haosou	6	3
19	haosou	10	3
19	haosou	1	1
19	haosou	0	1
19	haosou	2	3
19	haosou	8	1
19	haosou	9	1
13	sm	7	1
13	sm	9	1
13	sm	5	2
13	sm	8	1
13	sm	12	1
13	sm	3	2
13	sm	6	3
13	sm	11	2
13	sm	4	3
5	sogou	7	1
5	sogou	0	2
5	sogou	4	1
5	sogou	2	1
5	sogou	9	1
5	sogou	6	3
5	sogou	8	1
5	sogou	5	1
5	sogou	10	1
5	sogou	1	1
5	sogou	3	1
20	haosou	7	1
20	haosou	11	1
20	haosou	3	3
20	haosou	6	1
20	haosou	8	1
20	haosou	10	1
20	haosou	4	1
20	haosou	1	1
20	haosou	9	1
20	haosou	0	1
20	haosou	2	1
20	haosou	5	1
4	sogou	6	2
4	sogou	2	1
4	sogou	5	2
4	sogou	10	1
4	sogou	3	1
4	sogou	9	1
4	sogou	8	2
4	sogou	0	2
4	sogou	1	2
4	sogou	4	1
4	sogou	7	1
17	haosou	2	2
17	haosou	3	1
17	haosou	7	1
17	haosou	7	1
17	haosou	9	1
17	haosou	4	1
17	haosou	0	1
17	haosou	8	1
17	haosou	5	1
17	haosou	10	3
17	haosou	11	1
17	haosou	6	1
17	haosou	1	1
9	baidu	4	2
9	baidu	1	1
9	baidu	6	1
9	baidu	5	1
9	baidu	8	3
9	baidu	7	1
9	baidu	2	1
9	baidu	3	1
9	baidu	0	1
15	sm	9	1
15	sm	8	1
15	sm	10	1
15	sm	4	1
15	sm	6	3
15	sm	5	3
15	sm	3	1
15	sm	2	1
15	sm	0	1
15	sm	1	1
15	sm	7	1
8	baidu	2	1
8	baidu	1	1
8	baidu	0	3
8	baidu	3	1
8	baidu	9	1
8	baidu	4	1
8	baidu	5	1
8	baidu	7	1
8	baidu	6	1
8	baidu	8	1
3	sogou	1	1
3	sogou	3	1
3	sogou	9	1
3	sogou	10	1
3	sogou	4	1
3	sogou	6	3
3	sogou	7	1
3	sogou	8	3
3	sogou	0	1
3	sogou	2	1
3	sogou	5	2
12	sm	9	1
12	sm	10	1
12	sm	7	1
12	sm	6	1
12	sm	8	1
12	sm	4	1
12	sm	0	1
12	sm	5	1
12	sm	3	1
12	sm	1	1
12	sm	2	3
18	haosou	1	1
18	haosou	7	1
18	haosou	6	3
18	haosou	8	3
18	haosou	0	3
18	haosou	10	1
18	haosou	3	3
18	haosou	4	1
18	haosou	2	3
18	haosou	5	1
18	haosou	9	1
11	sm	4	1
11	sm	8	1
11	sm	3	1
11	sm	7	1
11	sm	1	1
11	sm	5	1
11	sm	9	1
11	sm	6	3
11	sm	10	1
11	sm	2	1
11	sm	0	2
14	sm	8	1
14	sm	1	3
14	sm	6	1
14	sm	0	2
14	sm	5	3
14	sm	3	1
14	sm	11	1
14	sm	7	1
14	sm	4	3
14	sm	9	1
14	sm	10	1
14	sm	2	2
1	sogou	2	1
1	sogou	1	2
1	sogou	7	1
1	sogou	5	1
1	sogou	0	2
1	sogou	9	1
1	sogou	8	1
1	sogou	4	3
1	sogou	10	1
1	sogou	6	1
1	sogou	3	1
6	baidu	4	1
6	baidu	6	1
6	baidu	0	2
6	baidu	2	3
6	baidu	3	1
6	baidu	5	1
6	baidu	9	3
6	baidu	8	1
6	baidu	1	3
6	baidu	7	1
16	haosou	4	1
16	haosou	11	1
16	haosou	13	1
16	haosou	6	1
16	haosou	0	1
16	haosou	10	1
16	haosou	1	2
16	haosou	3	3
16	haosou	8	2
16	haosou	9	1
16	haosou	12	1
16	haosou	5	1
16	haosou	7	3
16	haosou	2	2
7	baidu	3	1
7	baidu	4	2
7	baidu	5	1
7	baidu	9	1
7	baidu	0	2
7	baidu	6	3
7	baidu	1	2
7	baidu	8	2
7	baidu	2	2
7	baidu	7	1
1	baidu	8	1
1	baidu	1	1
1	baidu	9	2
1	baidu	0	1
1	baidu	2	1
1	baidu	6	1
1	baidu	7	1
1	baidu	3	1
1	baidu	4	1
1	baidu	5	3
18	sogou	4	1
18	sogou	0	3
18	sogou	8	1
18	sogou	7	3
18	sogou	9	3
18	sogou	2	3
18	sogou	5	1
18	sogou	3	3
18	sogou	6	1
18	sogou	1	3
3	baidu	1	1
3	baidu	3	1
3	baidu	9	1
3	baidu	8	1
3	baidu	0	2
3	baidu	6	2
3	baidu	5	1
3	baidu	4	3
3	baidu	2	1
3	baidu	7	1
8	sm	5	1
8	sm	10	1
8	sm	11	1
8	sm	4	3
8	sm	1	2
8	sm	9	1
8	sm	0	1
8	sm	6	1
8	sm	3	1
8	sm	8	1
8	sm	2	3
8	sm	7	1
6	sm	3	1
6	sm	1	1
6	sm	0	1
6	sm	8	1
6	sm	4	1
6	sm	7	1
6	sm	5	1
6	sm	2	2
6	sm	9	1
6	sm	6	1
7	sm	6	1
7	sm	1	2
7	sm	4	3
7	sm	0	1
7	sm	5	2
7	sm	3	2
7	sm	10	2
7	sm	8	2
7	sm	7	2
7	sm	11	1
7	sm	2	3
7	sm	9	1
9	sm	9	1
9	sm	6	1
9	sm	5	1
9	sm	3	1
9	sm	2	1
9	sm	8	2
9	sm	7	1
9	sm	1	3
9	sm	4	1
9	sm	10	1
9	sm	0	1
11	haosou	11	1
11	haosou	13	1
11	haosou	1	1
11	haosou	9	1
11	haosou	7	3
11	haosou	6	1
11	haosou	12	1
11	haosou	8	1
11	haosou	2	1
11	haosou	10	1
11	haosou	3	3
11	haosou	0	2
11	haosou	5	1
11	haosou	4	1
2	baidu	2	1
2	baidu	1	1
2	baidu	10	3
2	baidu	4	1
2	baidu	6	1
2	baidu	5	1
2	baidu	0	1
2	baidu	8	1
2	baidu	3	3
2	baidu	9	1
2	baidu	7	1
5	baidu	4	1
5	baidu	8	1
5	baidu	5	1
5	baidu	9	1
5	baidu	6	1
5	baidu	2	2
5	baidu	1	1
5	baidu	0	1
5	baidu	3	1
5	baidu	7	1
20	sogou	4	1
20	sogou	6	2
20	sogou	0	3
20	sogou	1	1
20	sogou	7	1
20	sogou	8	1
20	sogou	3	1
20	sogou	9	1
20	sogou	5	1
20	sogou	2	1
17	sogou	4	1
17	sogou	5	1
17	sogou	0	1
17	sogou	2	1
17	sogou	7	1
17	sogou	8	1
17	sogou	3	1
17	sogou	9	2
17	sogou	1	1
17	sogou	6	1
10	sm	10	1
10	sm	5	1
10	sm	2	2
10	sm	9	1
10	sm	7	1
10	sm	4	2
10	sm	8	1
10	sm	0	1
10	sm	11	1
10	sm	3	2
10	sm	1	3
10	sm	6	3
19	sogou	3	3
19	sogou	1	3
19	sogou	0	3
19	sogou	4	3
19	sogou	10	1
19	sogou	5	3
19	sogou	9	1
19	sogou	7	1
19	sogou	8	3
19	sogou	6	3
19	sogou	2	1
13	haosou	11	1
13	haosou	2	1
13	haosou	5	1
13	haosou	4	1
13	haosou	6	1
13	haosou	0	2
13	haosou	9	2
13	haosou	3	3
13	haosou	8	1
13	haosou	10	1
13	haosou	12	1
13	haosou	7	3
13	haosou	1	1
16	sogou	10	1
16	sogou	1	2
16	sogou	6	3
16	sogou	3	1
16	sogou	4	2
16	sogou	8	1
16	sogou	0	1
16	sogou	7	1
16	sogou	9	1
16	sogou	5	2
16	sogou	2	2
14	haosou	3	3
14	haosou	2	1
14	haosou	7	3
14	haosou	9	1
14	haosou	10	1
14	haosou	8	1
14	haosou	4	2
14	haosou	5	1
14	haosou	13	1
14	haosou	1	1
14	haosou	14	1
14	haosou	0	2
14	haosou	11	1
14	haosou	6	1
14	haosou	12	1
12	haosou	8	1
12	haosou	4	1
12	haosou	11	1
12	haosou	5	1
12	haosou	9	1
12	haosou	0	2
12	haosou	6	1
12	haosou	7	3
12	haosou	12	1
12	haosou	3	3
12	haosou	2	1
12	haosou	10	1
12	haosou	1	1
4	baidu	0	2
4	baidu	7	2
4	baidu	2	1
4	baidu	3	2
4	baidu	9	2
4	baidu	6	2
4	baidu	1	2
4	baidu	5	1
4	baidu	4	1
4	baidu	8	1
15	haosou	7	3
15	haosou	4	1
15	haosou	1	1
15	haosou	5	1
15	haosou	0	1
15	haosou	8	1
15	haosou	3	3
15	haosou	10	1
15	haosou	11	1
15	haosou	9	1
15	haosou	2	1
15	haosou	6	1
