taskid	source	resultid	relevance
10	haosou	10	4.0
10	haosou	12	4.0
10	haosou	1	4.0
10	haosou	0	4.0
10	haosou	3	4.0
10	haosou	2	4.0
10	haosou	5	4.0
10	haosou	4	4.0
10	haosou	7	1.0
10	haosou	6	4.0
10	haosou	9	3.0
10	haosou	8	4.0
13	sogou	10	3.0
13	sogou	1	2.0
13	sogou	0	4.0
13	sogou	3	3.0
13	sogou	2	3.0
13	sogou	5	2.0
13	sogou	4	2.0
13	sogou	7	2.0
13	sogou	6	3.0
13	sogou	9	1.0
13	sogou	8	3.0
12	sogou	1	3.0
12	sogou	0	3.0
12	sogou	3	3.0
12	sogou	2	2.0
12	sogou	5	2.0
12	sogou	4	2.0
12	sogou	7	2.0
12	sogou	6	2.0
12	sogou	9	2.0
12	sogou	8	2.0
20	baidu	10	2.0
20	baidu	1	4.0
20	baidu	0	4.0
20	baidu	3	2.0
20	baidu	2	2.0
20	baidu	5	2.0
20	baidu	4	2.0
20	baidu	7	2.0
20	baidu	6	4.0
20	baidu	9	1.0
20	baidu	8	2.0
14	sogou	10	1.0
14	sogou	1	2.0
14	sogou	0	4.0
14	sogou	3	2.0
14	sogou	2	3.0
14	sogou	5	3.0
14	sogou	4	3.0
14	sogou	7	3.0
14	sogou	6	3.0
14	sogou	9	2.0
14	sogou	8	2.0
17	baidu	1	1.0
17	baidu	0	3.0
17	baidu	3	1.0
17	baidu	2	2.0
17	baidu	5	1.0
17	baidu	4	2.0
17	baidu	7	1.0
17	baidu	6	1.0
17	baidu	9	2.0
17	baidu	8	3.0
16	baidu	11	2.0
16	baidu	10	2.0
16	baidu	13	2.0
16	baidu	12	4.0
16	baidu	15	2.0
16	baidu	14	2.0
16	baidu	17	2.0
16	baidu	16	2.0
16	baidu	18	2.0
16	baidu	1	3.0
16	baidu	0	4.0
16	baidu	3	2.0
16	baidu	2	2.0
16	baidu	5	4.0
16	baidu	4	3.0
16	baidu	7	3.0
16	baidu	6	2.0
16	baidu	9	2.0
16	baidu	8	3.0
19	baidu	1	4.0
19	baidu	0	4.0
19	baidu	3	4.0
19	baidu	2	4.0
19	baidu	5	4.0
19	baidu	4	3.0
19	baidu	7	4.0
19	baidu	6	4.0
19	baidu	9	2.0
19	baidu	8	4.0
18	baidu	1	4.0
18	baidu	0	4.0
18	baidu	3	4.0
18	baidu	2	3.0
18	baidu	5	1.0
18	baidu	4	4.0
18	baidu	7	1.0
18	baidu	6	4.0
18	baidu	9	2.0
18	baidu	8	2.0
15	sogou	10	2.0
15	sogou	1	2.0
15	sogou	0	4.0
15	sogou	3	3.0
15	sogou	2	2.0
15	sogou	5	2.0
15	sogou	4	3.0
15	sogou	7	2.0
15	sogou	6	3.0
15	sogou	9	2.0
15	sogou	8	2.0
3	sm	11	4.0
3	sm	10	3.0
3	sm	1	1.0
3	sm	0	4.0
3	sm	3	2.0
3	sm	2	4.0
3	sm	5	3.0
3	sm	4	4.0
3	sm	7	4.0
3	sm	6	3.0
3	sm	9	4.0
3	sm	8	4.0
2	sm	11	4.0
2	sm	10	1.0
2	sm	1	1.0
2	sm	0	4.0
2	sm	3	4.0
2	sm	2	3.0
2	sm	5	2.0
2	sm	4	3.0
2	sm	7	4.0
2	sm	6	3.0
2	sm	9	4.0
2	sm	8	4.0
5	sm	1	1.0
5	sm	0	4.0
5	sm	3	3.0
5	sm	2	3.0
5	sm	5	3.0
5	sm	4	4.0
5	sm	7	4.0
5	sm	6	4.0
5	sm	9	3.0
5	sm	8	4.0
4	sm	11	3.0
4	sm	10	3.0
4	sm	1	3.0
4	sm	0	4.0
4	sm	3	4.0
4	sm	2	3.0
4	sm	5	3.0
4	sm	4	2.0
4	sm	7	4.0
4	sm	6	3.0
4	sm	9	4.0
4	sm	8	3.0
7	haosou	11	4.0
7	haosou	10	4.0
7	haosou	12	4.0
7	haosou	1	1.0
7	haosou	0	3.0
7	haosou	3	3.0
7	haosou	2	1.0
7	haosou	5	4.0
7	haosou	4	2.0
7	haosou	7	1.0
7	haosou	6	3.0
7	haosou	9	3.0
7	haosou	8	4.0
6	haosou	11	3.0
6	haosou	10	4.0
6	haosou	12	3.0
6	haosou	1	3.0
6	haosou	0	4.0
6	haosou	3	4.0
6	haosou	2	4.0
6	haosou	5	4.0
6	haosou	4	4.0
6	haosou	7	1.0
6	haosou	6	2.0
6	haosou	9	4.0
6	haosou	8	4.0
9	haosou	11	3.0
9	haosou	10	4.0
9	haosou	1	4.0
9	haosou	0	2.0
9	haosou	3	3.0
9	haosou	2	4.0
9	haosou	5	3.0
9	haosou	4	4.0
9	haosou	7	4.0
9	haosou	6	2.0
9	haosou	9	4.0
9	haosou	8	2.0
8	haosou	11	4.0
8	haosou	10	4.0
8	haosou	12	1.0
8	haosou	1	4.0
8	haosou	0	4.0
8	haosou	3	2.0
8	haosou	2	3.0
8	haosou	5	4.0
8	haosou	4	2.0
8	haosou	7	1.0
8	haosou	6	2.0
8	haosou	9	4.0
8	haosou	8	4.0
1	sm	11	4.0
1	sm	10	4.0
1	sm	1	3.0
1	sm	0	4.0
1	sm	3	3.0
1	sm	2	3.0
1	sm	5	4.0
1	sm	4	4.0
1	sm	7	1.0
1	sm	6	2.0
1	sm	9	4.0
1	sm	8	3.0
11	haosou	11	1.0
11	haosou	10	4.0
11	haosou	13	4.0
11	haosou	12	1.0
11	haosou	1	4.0
11	haosou	0	4.0
11	haosou	3	1.0
11	haosou	2	1.0
11	haosou	5	4.0
11	haosou	4	4.0
11	haosou	7	1.0
11	haosou	6	4.0
11	haosou	9	4.0
11	haosou	8	4.0
10	sm	11	4.0
10	sm	10	4.0
10	sm	1	1.0
10	sm	0	4.0
10	sm	3	4.0
10	sm	2	4.0
10	sm	5	1.0
10	sm	4	1.0
10	sm	7	1.0
10	sm	6	1.0
10	sm	9	3.0
10	sm	8	4.0
13	haosou	11	3.0
13	haosou	10	3.0
13	haosou	12	3.0
13	haosou	1	2.0
13	haosou	0	4.0
13	haosou	3	2.0
13	haosou	2	3.0
13	haosou	5	3.0
13	haosou	4	3.0
13	haosou	7	2.0
13	haosou	6	3.0
13	haosou	9	4.0
13	haosou	8	2.0
12	haosou	11	1.0
12	haosou	10	1.0
12	haosou	12	2.0
12	haosou	1	4.0
12	haosou	0	4.0
12	haosou	3	1.0
12	haosou	2	2.0
12	haosou	5	4.0
12	haosou	4	4.0
12	haosou	7	1.0
12	haosou	6	1.0
12	haosou	9	3.0
12	haosou	8	4.0
20	sogou	1	4.0
20	sogou	0	4.0
20	sogou	3	2.0
20	sogou	2	2.0
20	sogou	5	2.0
20	sogou	4	2.0
20	sogou	7	2.0
20	sogou	6	3.0
20	sogou	9	2.0
20	sogou	8	4.0
14	haosou	11	3.0
14	haosou	10	2.0
14	haosou	13	3.0
14	haosou	12	2.0
14	haosou	14	3.0
14	haosou	1	3.0
14	haosou	0	4.0
14	haosou	3	3.0
14	haosou	2	3.0
14	haosou	5	2.0
14	haosou	4	2.0
14	haosou	7	2.0
14	haosou	6	3.0
14	haosou	9	3.0
14	haosou	8	2.0
17	sogou	1	4.0
17	sogou	0	4.0
17	sogou	3	3.0
17	sogou	2	1.0
17	sogou	5	1.0
17	sogou	4	4.0
17	sogou	7	1.0
17	sogou	6	1.0
17	sogou	9	2.0
17	sogou	8	1.0
16	sogou	10	3.0
16	sogou	1	3.0
16	sogou	0	4.0
16	sogou	3	2.0
16	sogou	2	4.0
16	sogou	5	3.0
16	sogou	4	3.0
16	sogou	7	2.0
16	sogou	6	1.0
16	sogou	9	1.0
16	sogou	8	3.0
19	sogou	10	1.0
19	sogou	1	4.0
19	sogou	0	4.0
19	sogou	3	4.0
19	sogou	2	4.0
19	sogou	5	1.0
19	sogou	4	4.0
19	sogou	7	1.0
19	sogou	6	4.0
19	sogou	9	1.0
19	sogou	8	3.0
18	sogou	1	4.0
18	sogou	0	4.0
18	sogou	3	4.0
18	sogou	2	4.0
18	sogou	5	1.0
18	sogou	4	4.0
18	sogou	7	4.0
18	sogou	6	4.0
18	sogou	9	4.0
18	sogou	8	1.0
15	haosou	11	1.0
15	haosou	10	2.0
15	haosou	1	2.0
15	haosou	0	4.0
15	haosou	3	1.0
15	haosou	2	2.0
15	haosou	5	3.0
15	haosou	4	1.0
15	haosou	7	2.0
15	haosou	6	1.0
15	haosou	9	1.0
15	haosou	8	2.0
1	baidu	1	4.0
1	baidu	0	4.0
1	baidu	3	2.0
1	baidu	2	4.0
1	baidu	5	2.0
1	baidu	4	4.0
1	baidu	7	4.0
1	baidu	6	4.0
1	baidu	9	4.0
1	baidu	8	4.0
3	baidu	1	4.0
3	baidu	0	4.0
3	baidu	3	4.0
3	baidu	2	2.0
3	baidu	5	4.0
3	baidu	4	1.0
3	baidu	7	4.0
3	baidu	6	4.0
3	baidu	9	4.0
3	baidu	8	4.0
2	baidu	10	1.0
2	baidu	1	4.0
2	baidu	0	4.0
2	baidu	3	3.0
2	baidu	2	4.0
2	baidu	5	4.0
2	baidu	4	2.0
2	baidu	7	4.0
2	baidu	6	4.0
2	baidu	9	4.0
2	baidu	8	4.0
5	baidu	1	4.0
5	baidu	0	4.0
5	baidu	3	4.0
5	baidu	2	4.0
5	baidu	5	4.0
5	baidu	4	4.0
5	baidu	7	4.0
5	baidu	6	3.0
5	baidu	9	4.0
5	baidu	8	4.0
4	baidu	1	4.0
4	baidu	0	4.0
4	baidu	3	3.0
4	baidu	2	4.0
4	baidu	5	4.0
4	baidu	4	4.0
4	baidu	7	2.0
4	baidu	6	3.0
4	baidu	9	4.0
4	baidu	8	4.0
7	sm	11	4.0
7	sm	10	4.0
7	sm	1	4.0
7	sm	0	3.0
7	sm	3	2.0
7	sm	2	2.0
7	sm	5	4.0
7	sm	4	1.0
7	sm	7	4.0
7	sm	6	4.0
7	sm	9	4.0
7	sm	8	1.0
6	sm	1	1.0
6	sm	0	2.0
6	sm	3	2.0
6	sm	2	1.0
6	sm	5	3.0
6	sm	4	4.0
6	sm	7	2.0
6	sm	6	4.0
6	sm	9	3.0
6	sm	8	2.0
9	sm	10	3.0
9	sm	1	1.0
9	sm	0	4.0
9	sm	3	2.0
9	sm	2	1.0
9	sm	5	4.0
9	sm	4	3.0
9	sm	7	4.0
9	sm	6	4.0
9	sm	9	3.0
9	sm	8	4.0
8	sm	11	4.0
8	sm	10	2.0
8	sm	1	4.0
8	sm	0	4.0
8	sm	3	3.0
8	sm	2	1.0
8	sm	5	4.0
8	sm	4	2.0
8	sm	7	3.0
8	sm	6	4.0
8	sm	9	4.0
8	sm	8	4.0
11	baidu	10	1.0
11	baidu	1	4.0
11	baidu	0	4.0
11	baidu	3	4.0
11	baidu	2	2.0
11	baidu	5	4.0
11	baidu	4	4.0
11	baidu	7	4.0
11	baidu	6	4.0
11	baidu	9	4.0
11	baidu	8	1.0
10	sogou	1	4.0
10	sogou	0	3.0
10	sogou	3	4.0
10	sogou	2	4.0
10	sogou	5	4.0
10	sogou	4	3.0
10	sogou	7	4.0
10	sogou	6	1.0
10	sogou	9	4.0
10	sogou	8	4.0
13	baidu	10	2.0
13	baidu	1	2.0
13	baidu	0	4.0
13	baidu	3	3.0
13	baidu	2	2.0
13	baidu	5	3.0
13	baidu	4	3.0
13	baidu	7	2.0
13	baidu	6	2.0
13	baidu	9	2.0
13	baidu	8	2.0
12	baidu	1	2.0
12	baidu	0	1.0
12	baidu	3	1.0
12	baidu	2	4.0
12	baidu	5	3.0
12	baidu	4	4.0
12	baidu	7	1.0
12	baidu	6	1.0
12	baidu	9	3.0
12	baidu	8	4.0
20	sm	11	4.0
20	sm	10	2.0
20	sm	1	4.0
20	sm	0	2.0
20	sm	3	2.0
20	sm	2	4.0
20	sm	5	2.0
20	sm	4	2.0
20	sm	7	4.0
20	sm	6	3.0
20	sm	9	4.0
20	sm	8	4.0
14	baidu	1	2.0
14	baidu	0	4.0
14	baidu	3	3.0
14	baidu	2	1.0
14	baidu	5	2.0
14	baidu	4	3.0
14	baidu	7	2.0
14	baidu	6	3.0
14	baidu	9	2.0
14	baidu	8	3.0
17	sm	10	1.0
17	sm	1	3.0
17	sm	0	4.0
17	sm	3	1.0
17	sm	2	3.0
17	sm	5	3.0
17	sm	4	1.0
17	sm	7	1.0
17	sm	6	3.0
17	sm	9	1.0
17	sm	8	1.0
16	sm	11	4.0
16	sm	10	2.0
16	sm	1	3.0
16	sm	0	4.0
16	sm	3	1.0
16	sm	2	4.0
16	sm	5	3.0
16	sm	4	1.0
16	sm	7	2.0
16	sm	6	2.0
16	sm	9	2.0
16	sm	8	3.0
19	sm	10	4.0
19	sm	1	4.0
19	sm	0	4.0
19	sm	3	1.0
19	sm	2	4.0
19	sm	5	4.0
19	sm	4	4.0
19	sm	7	4.0
19	sm	6	4.0
19	sm	9	4.0
19	sm	8	4.0
18	sm	10	3.0
18	sm	1	1.0
18	sm	0	4.0
18	sm	3	4.0
18	sm	2	4.0
18	sm	5	3.0
18	sm	4	3.0
18	sm	7	4.0
18	sm	6	3.0
18	sm	9	3.0
18	sm	8	4.0
15	baidu	10	1.0
15	baidu	1	3.0
15	baidu	0	4.0
15	baidu	3	3.0
15	baidu	2	1.0
15	baidu	5	2.0
15	baidu	4	2.0
15	baidu	7	3.0
15	baidu	6	2.0
15	baidu	9	2.0
15	baidu	8	1.0
1	haosou	11	3.0
1	haosou	10	2.0
1	haosou	13	3.0
1	haosou	12	4.0
1	haosou	1	4.0
1	haosou	0	3.0
1	haosou	3	3.0
1	haosou	2	1.0
1	haosou	5	3.0
1	haosou	4	3.0
1	haosou	7	1.0
1	haosou	6	3.0
1	haosou	9	4.0
1	haosou	8	3.0
3	haosou	11	4.0
3	haosou	10	2.0
3	haosou	1	4.0
3	haosou	0	4.0
3	haosou	3	4.0
3	haosou	2	4.0
3	haosou	5	3.0
3	haosou	4	4.0
3	haosou	7	4.0
3	haosou	6	4.0
3	haosou	9	2.0
3	haosou	8	4.0
2	haosou	11	3.0
2	haosou	10	3.0
2	haosou	12	4.0
2	haosou	1	4.0
2	haosou	0	4.0
2	haosou	3	2.0
2	haosou	2	4.0
2	haosou	5	1.0
2	haosou	4	3.0
2	haosou	7	1.0
2	haosou	6	4.0
2	haosou	9	4.0
2	haosou	8	4.0
5	haosou	11	4.0
5	haosou	10	3.0
5	haosou	12	3.0
5	haosou	1	3.0
5	haosou	0	3.0
5	haosou	3	2.0
5	haosou	2	3.0
5	haosou	5	1.0
5	haosou	4	3.0
5	haosou	7	1.0
5	haosou	6	3.0
5	haosou	9	3.0
5	haosou	8	3.0
4	haosou	11	4.0
4	haosou	10	4.0
4	haosou	13	4.0
4	haosou	12	4.0
4	haosou	14	3.0
4	haosou	1	4.0
4	haosou	0	4.0
4	haosou	3	3.0
4	haosou	2	4.0
4	haosou	5	4.0
4	haosou	4	4.0
4	haosou	7	3.0
4	haosou	6	3.0
4	haosou	9	2.0
4	haosou	8	3.0
7	sogou	10	3.0
7	sogou	1	4.0
7	sogou	0	4.0
7	sogou	3	3.0
7	sogou	2	4.0
7	sogou	5	2.0
7	sogou	4	1.0
7	sogou	7	1.0
7	sogou	6	4.0
7	sogou	9	4.0
7	sogou	8	4.0
6	sogou	1	4.0
6	sogou	0	4.0
6	sogou	3	4.0
6	sogou	2	2.0
6	sogou	5	2.0
6	sogou	4	4.0
6	sogou	7	4.0
6	sogou	6	2.0
6	sogou	9	2.0
6	sogou	8	1.0
9	sogou	10	4.0
9	sogou	1	4.0
9	sogou	0	4.0
9	sogou	3	3.0
9	sogou	2	3.0
9	sogou	5	3.0
9	sogou	4	1.0
9	sogou	7	3.0
9	sogou	6	3.0
9	sogou	9	3.0
9	sogou	8	1.0
8	sogou	10	4.0
8	sogou	1	4.0
8	sogou	0	4.0
8	sogou	3	3.0
8	sogou	2	4.0
8	sogou	5	2.0
8	sogou	4	3.0
8	sogou	7	4.0
8	sogou	6	3.0
8	sogou	9	4.0
8	sogou	8	4.0
