uid	settingid	tid	l	ratio
2016211123	3	11	1088.977362	1.0
2015012244	4	15	1103.965652	0.998837209302
2014310617	2	18	1121.9516	0.997674418605
2013012645	2	19	1143.934425	0.996511627907
2016210747	2	18	1159.0	0.995348837209
2015010872	4	6	1279.0	0.994186046512
2015210462	3	18	1588.0	0.993023255814
2014210115	2	12	1611.0	0.991860465116
2015012244	4	20	1839.0	0.990697674419
2015012244	4	11	2086.0	0.989534883721
2014310617	2	19	2195.0	0.988372093023
2014080118	3	18	2244.90164	0.987209302326
2014012023	1	20	2302.85637	0.986046511628
2013011361	1	20	2314.847	0.98488372093
2014210115	2	18	2323.0	0.983720930233
2016211123	3	12	2325.0	0.982558139535
2016011392	3	15	2335.8306	0.981395348837
2016011392	3	8	2450.0	0.98023255814
2015010889	3	18	2454.0	0.979069767442
2015010872	4	11	2492.0	0.977906976744
2014080129	2	1	2496.87276	0.976744186047
2014310617	2	5	2711.3807	0.975581395349
2013012645	2	18	2736.0	0.974418604651
2014080118	3	15	2877.88213	0.973255813953
2015010872	4	20	2879.0	0.972093023256
2016011392	3	11	2910.38247	0.970930232558
2016211123	3	10	2962.3716	0.96976744186
2016011396	4	9	2973.900856	0.968604651163
2014012023	1	12	2986.0	0.967441860465
2016011392	3	18	2987.76744	0.966279069767
2014012023	1	4	2996.331	0.96511627907
2016211454	4	18	3032.0	0.963953488372
2014012023	1	16	3055.0	0.962790697674
2016011311	4	6	3102.0	0.961627906977
2016050024	3	6	3112.0	0.960465116279
2016310173	2	18	3184.0	0.959302325581
2015311241	2	3	3195.3825	0.958139534884
2016011317	1	20	3206.2842	0.956976744186
2016211123	3	20	3220.0	0.955813953488
2014012280	3	18	3300.0	0.954651162791
2016211123	3	18	3315.0	0.953488372093
2016011396	4	12	3318.0	0.952325581395
2013012645	2	3	3327.84543	0.951162790698
2015010887	4	15	3339.87666	0.95
2014010012	1	11	3363.4114	0.948837209302
2014010588	2	14	3386.81812	0.947674418605
2014310617	2	14	3420.79156	0.946511627907
2014210115	2	1	3436.0	0.945348837209
2015311241	2	16	3448.0	0.944186046512
2014011525	3	8	3485.0	0.943023255814
2016011392	3	6	3557.3771	0.941860465116
2013012645	2	17	3564.39535	0.940697674419
2014012023	1	1	3571.81812	0.939534883721
2015311241	2	19	3587.85326	0.938372093023
2016011284	4	11	3604.0	0.937209302326
2016011392	3	1	3636.79703	0.936046511628
2016011311	4	3	3658.0	0.93488372093
2015210462	3	1	3702.0	0.933720930233
2013012056	4	15	3712.0	0.932558139535
2013012056	4	11	3722.5745	0.931395348837
2015311241	2	18	3731.5691	0.93023255814
2013012645	2	16	3773.9414	0.929069767442
2014080118	3	20	3780.02966	0.927906976744
2014012023	1	19	3793.0	0.926744186047
2016011286	2	20	3800.0	0.925581395349
2016011336	3	4	3801.83138	0.924418604651
2014012023	1	11	3853.0	0.923255813953
2015010872	4	5	3855.765	0.922093023256
2014080118	3	1	3891.62842	0.920930232558
2016211454	4	10	3908.388	0.91976744186
2015010872	4	7	3933.0	0.918604651163
2016011311	4	15	3940.0	0.917441860465
2014010588	2	13	3946.25528	0.916279069767
2014010588	2	5	3951.0	0.91511627907
2013012645	2	1	3958.28183	0.913953488372
2014210115	2	14	3969.31305	0.912790697674
2016011396	4	11	4014.0	0.911627906977
2014010588	2	10	4021.32007	0.910465116279
2013011361	1	12	4045.0	0.909302325581
2013010932	1	12	4045.0	0.908139534884
2016011392	3	3	4063.0	0.906976744186
2016011392	3	4	4067.7939	0.905813953488
2014010588	2	9	4074.44965	0.904651162791
2014210115	2	16	4152.0	0.903488372093
2016011258	4	6	4154.45628	0.902325581395
2013012645	2	2	4195.0	0.901162790698
2015210462	3	11	4209.6947	0.9
2016011392	3	14	4214.81812	0.898837209302
2014010588	2	1	4215.1703	0.897674418605
2016011258	4	1	4225.2904	0.896511627907
2014210115	2	2	4228.0	0.895348837209
2014210115	2	19	4238.0	0.894186046512
2014012023	1	15	4245.0	0.893023255814
2014012280	3	20	4252.0	0.891860465116
2013010932	1	11	4252.3626	0.890697674419
2014012023	1	14	4259.4684	0.889534883721
2014012023	1	6	4265.50037	0.888372093023
2014010588	2	12	4301.0	0.887209302326
2014210115	2	11	4313.0	0.886046511628
2016011257	1	11	4318.2662	0.88488372093
2014011525	3	17	4351.0	0.883720930233
2014310617	2	16	4413.0	0.882558139535
2014080129	2	8	4455.86104	0.881395348837
2014011525	3	1	4463.0	0.88023255814
2014012280	3	19	4481.4785	0.879069767442
2016211454	4	11	4519.0	0.877906976744
2014010974	2	18	4525.0	0.876744186047
2016310173	2	20	4542.0	0.875581395349
2014080118	3	11	4556.0	0.874418604651
2016011373	1	17	4560.0	0.873255813953
2014012023	1	17	4560.0	0.872093023256
2014080129	2	12	4562.9196	0.870930232558
2014010588	2	18	4642.0	0.86976744186
2014010012	1	14	4655.0	0.868604651163
2013012645	2	9	4658.6128	0.867441860465
2016310173	2	11	4674.0	0.866279069767
2016210747	2	5	4679.0	0.86511627907
2014011525	3	18	4750.0	0.863953488372
2016011284	4	20	4764.0	0.862790697674
2014012280	3	3	4780.87198	0.861627906977
2014012023	1	18	4790.0	0.860465116279
2016011284	4	18	4849.0	0.859302325581
2015210462	3	15	4859.8704	0.858139534884
2016011258	4	15	4864.900856	0.856976744186
2016011311	4	18	4886.0	0.855813953488
2014080118	3	6	4888.66506	0.854651162791
2014010012	1	20	4902.0	0.853488372093
2014012023	1	3	4910.84387	0.852325581395
2016211313	1	7	4915.6214	0.851162790698
2016011284	4	15	4953.83138	0.85
2016011317	1	11	4955.61284	0.848837209302
2015010889	3	20	4962.4332	0.847674418605
2016211313	1	11	5017.392686	0.846511627907
2015010889	3	3	5031.90193	0.845348837209
2014080129	2	7	5050.60577	0.844186046512
2014080118	3	12	5055.3724	0.843023255814
2014210115	2	5	5056.3755	0.841860465116
2016211313	1	3	5066.5363	0.840697674419
2016210747	2	20	5119.0	0.839534883721
2015010872	4	15	5125.0	0.838372093023
2014310617	2	4	5145.0	0.837209302326
2014012023	1	7	5162.79	0.836046511628
2016011257	1	15	5193.0	0.83488372093
2016211313	1	1	5194.1007	0.833720930233
2014310617	2	12	5241.91387	0.832558139535
2016011311	4	11	5329.7166	0.831395348837
2014012280	3	4	5368.0	0.83023255814
2016050024	3	17	5411.0	0.829069767442
2016011336	3	20	5435.0	0.827906976744
2016011284	4	12	5437.0	0.826744186047
2014011525	3	20	5496.0	0.825581395349
2015210462	3	6	5525.80504	0.824418604651
2014310617	2	11	5526.011	0.823255813953
2016050024	3	18	5527.0	0.822093023256
2015010889	3	15	5534.0	0.820930232558
2016011373	1	20	5549.0	0.81976744186
2013012056	4	6	5558.0	0.818604651163
2016011392	3	20	5559.65648	0.817441860465
2015311241	2	15	5603.0	0.816279069767
2016011317	1	4	5604.0	0.81511627907
2013012048	4	6	5609.0	0.813953488372
2016211313	1	17	5619.0	0.812790697674
2014210115	2	9	5621.0	0.811627906977
2016011258	4	11	5664.6901	0.810465116279
2016011258	4	12	5685.0	0.809302325581
2016011392	3	9	5687.5222	0.808139534884
2016011396	4	4	5690.0	0.806976744186
2014010588	2	11	5733.0	0.805813953488
2014080118	3	17	5747.0	0.804651162791
2014310617	2	7	5797.31146	0.803488372093
2013012645	2	20	5802.0	0.802325581395
2013012056	4	18	5806.0	0.801162790698
2016011284	4	1	5866.0	0.8
2014011525	3	11	5866.0	0.798837209302
2014010588	2	8	5870.97408	0.797674418605
2016211123	3	6	5911.79312	0.796511627907
2015010872	4	4	5913.3419	0.795348837209
2013012645	2	4	5922.63077	0.794186046512
2016011336	3	10	5948.0	0.793023255814
2014010012	1	12	5949.34115	0.791860465116
2016011258	4	8	5966.50037	0.790697674419
2016011392	3	12	5993.5691	0.789534883721
2014080129	2	13	6000.0	0.788372093023
2016210747	2	11	6004.78845	0.787209302326
2014012280	3	8	6122.0	0.786046511628
2016211313	1	14	6129.0	0.78488372093
2015010889	3	6	6134.96643	0.783720930233
2016011396	4	5	6155.3771	0.782558139535
2016011286	2	15	6166.0	0.781395348837
2015210462	3	20	6173.0	0.78023255814
2014310617	2	20	6175.0	0.779069767442
2014080121	2	16	6219.0	0.777906976744
2016011286	2	10	6222.0	0.776744186047
2016011284	4	6	6229.0	0.775581395349
2016211454	4	7	6235.0	0.774418604651
2015010889	3	8	6253.0	0.773255813953
2015010889	3	11	6258.0	0.772093023256
2013012645	2	10	6297.3271	0.770930232558
2014080129	2	11	6301.38942	0.76976744186
2016050024	3	15	6326.0	0.768604651163
2014210115	2	15	6327.9486	0.767441860465
2015010887	4	11	6356.0	0.766279069767
2015010889	3	2	6378.0	0.76511627907
2015010872	4	18	6398.0	0.763953488372
2016011317	1	3	6438.45435	0.762790697674
