dumb	AP	AP@0003	AP@0005	ERR	Hit@0003	Hit@0005	MSnDCG@0003	MSnDCG@0005	NCUgu,BR	NCUgu,P	NCUrb,BR	NCUrb,P	Nor-lwfv-exp-binom	Nor-lwfv-exp-step	Nor-lwfv-raw-binom	Nor-lwfv-raw-step	Nor-lwofv-exp-binom	Nor-lwofv-exp-step	Nor-lwofv-raw-binom	Nor-lwofv-raw-step	Nor-nDCG-exp-binom	Nor-nDCG-exp-step	Nor-nDCG-raw-binom	Nor-nDCG-raw-step	Nor-tbg-exp-binom	Nor-tbg-exp-step	Nor-tbg-raw-binom	Nor-tbg-raw-step	O-measure	P-measure	P-plus	P@0003	P@0005	Q-measure	Q@0003	Q@0005	RBP	RR	nDCG@0003	nDCG@0005	nERR@0003	nERR@0005
AP	1.0	1.0	1.0	0.666666666667	0.182574185835	0.235702260396	0.666666666667	1.0	1.0	1.0	1.0	1.0	0.333333333333	0.333333333333	0.666666666667	0.666666666667	0.333333333333	0.333333333333	1.0	1.0	0.666666666667	0.666666666667	1.0	1.0	0.666666666667	0.666666666667	0.666666666667	0.666666666667	0.333333333333	0.666666666667	0.666666666667	1.0	0.666666666667	1.0	1.0	1.0	0.666666666667	0.182574185835	1.0	1.0	0.666666666667	0.666666666667
AP@0003		1.0	1.0	0.666666666667	0.182574185835	0.235702260396	0.666666666667	1.0	1.0	1.0	1.0	1.0	0.333333333333	0.333333333333	0.666666666667	0.666666666667	0.333333333333	0.333333333333	1.0	1.0	0.666666666667	0.666666666667	1.0	1.0	0.666666666667	0.666666666667	0.666666666667	0.666666666667	0.333333333333	0.666666666667	0.666666666667	1.0	0.666666666667	1.0	1.0	1.0	0.666666666667	0.182574185835	1.0	1.0	0.666666666667	0.666666666667
AP@0005			1.0	0.666666666667	0.182574185835	0.235702260396	0.666666666667	1.0	1.0	1.0	1.0	1.0	0.333333333333	0.333333333333	0.666666666667	0.666666666667	0.333333333333	0.333333333333	1.0	1.0	0.666666666667	0.666666666667	1.0	1.0	0.666666666667	0.666666666667	0.666666666667	0.666666666667	0.333333333333	0.666666666667	0.666666666667	1.0	0.666666666667	1.0	1.0	1.0	0.666666666667	0.182574185835	1.0	1.0	0.666666666667	0.666666666667
ERR				1.0	0.547722557505	0.707106781187	1.0	0.666666666667	0.666666666667	0.666666666667	0.666666666667	0.666666666667	0.666666666667	0.666666666667	0.333333333333	0.333333333333	0.666666666667	0.666666666667	0.666666666667	0.666666666667	1.0	1.0	0.666666666667	0.666666666667	1.0	1.0	1.0	1.0	0.666666666667	1.0	1.0	0.666666666667	0.333333333333	0.666666666667	0.666666666667	0.666666666667	0.333333333333	0.547722557505	0.666666666667	0.666666666667	1.0	1.0
Hit@0003					1.0	0.516397779494	0.547722557505	0.182574185835	0.182574185835	0.182574185835	0.182574185835	0.182574185835	0.182574185835	0.182574185835	-0.182574185835	-0.182574185835	0.182574185835	0.182574185835	0.182574185835	0.182574185835	0.547722557505	0.547722557505	0.182574185835	0.182574185835	0.547722557505	0.547722557505	0.547722557505	0.547722557505	0.912870929175	0.547722557505	0.547722557505	0.182574185835	-0.182574185835	0.182574185835	0.182574185835	0.182574185835	-0.182574185835	1.0	0.182574185835	0.182574185835	0.547722557505	0.547722557505
Hit@0005						1.0	0.707106781187	0.235702260396	0.235702260396	0.235702260396	0.235702260396	0.235702260396	0.707106781187	0.707106781187	0.235702260396	0.235702260396	0.707106781187	0.707106781187	0.235702260396	0.235702260396	0.707106781187	0.707106781187	0.235702260396	0.235702260396	0.707106781187	0.707106781187	0.707106781187	0.707106781187	0.707106781187	0.707106781187	0.707106781187	0.235702260396	0.235702260396	0.235702260396	0.235702260396	0.235702260396	0.235702260396	0.516397779494	0.235702260396	0.235702260396	0.707106781187	0.707106781187
MSnDCG@0003							1.0	0.666666666667	0.666666666667	0.666666666667	0.666666666667	0.666666666667	0.666666666667	0.666666666667	0.333333333333	0.333333333333	0.666666666667	0.666666666667	0.666666666667	0.666666666667	1.0	1.0	0.666666666667	0.666666666667	1.0	1.0	1.0	1.0	0.666666666667	1.0	1.0	0.666666666667	0.333333333333	0.666666666667	0.666666666667	0.666666666667	0.333333333333	0.547722557505	0.666666666667	0.666666666667	1.0	1.0
MSnDCG@0005								1.0	1.0	1.0	1.0	1.0	0.333333333333	0.333333333333	0.666666666667	0.666666666667	0.333333333333	0.333333333333	1.0	1.0	0.666666666667	0.666666666667	1.0	1.0	0.666666666667	0.666666666667	0.666666666667	0.666666666667	0.333333333333	0.666666666667	0.666666666667	1.0	0.666666666667	1.0	1.0	1.0	0.666666666667	0.182574185835	1.0	1.0	0.666666666667	0.666666666667
NCUgu,BR									1.0	1.0	1.0	1.0	0.333333333333	0.333333333333	0.666666666667	0.666666666667	0.333333333333	0.333333333333	1.0	1.0	0.666666666667	0.666666666667	1.0	1.0	0.666666666667	0.666666666667	0.666666666667	0.666666666667	0.333333333333	0.666666666667	0.666666666667	1.0	0.666666666667	1.0	1.0	1.0	0.666666666667	0.182574185835	1.0	1.0	0.666666666667	0.666666666667
NCUgu,P										1.0	1.0	1.0	0.333333333333	0.333333333333	0.666666666667	0.666666666667	0.333333333333	0.333333333333	1.0	1.0	0.666666666667	0.666666666667	1.0	1.0	0.666666666667	0.666666666667	0.666666666667	0.666666666667	0.333333333333	0.666666666667	0.666666666667	1.0	0.666666666667	1.0	1.0	1.0	0.666666666667	0.182574185835	1.0	1.0	0.666666666667	0.666666666667
NCUrb,BR											1.0	1.0	0.333333333333	0.333333333333	0.666666666667	0.666666666667	0.333333333333	0.333333333333	1.0	1.0	0.666666666667	0.666666666667	1.0	1.0	0.666666666667	0.666666666667	0.666666666667	0.666666666667	0.333333333333	0.666666666667	0.666666666667	1.0	0.666666666667	1.0	1.0	1.0	0.666666666667	0.182574185835	1.0	1.0	0.666666666667	0.666666666667
NCUrb,P												1.0	0.333333333333	0.333333333333	0.666666666667	0.666666666667	0.333333333333	0.333333333333	1.0	1.0	0.666666666667	0.666666666667	1.0	1.0	0.666666666667	0.666666666667	0.666666666667	0.666666666667	0.333333333333	0.666666666667	0.666666666667	1.0	0.666666666667	1.0	1.0	1.0	0.666666666667	0.182574185835	1.0	1.0	0.666666666667	0.666666666667
Nor-lwfv-exp-binom													1.0	1.0	0.666666666667	0.666666666667	1.0	1.0	0.333333333333	0.333333333333	0.666666666667	0.666666666667	0.333333333333	0.333333333333	0.666666666667	0.666666666667	0.666666666667	0.666666666667	0.333333333333	0.666666666667	0.666666666667	0.333333333333	0.666666666667	0.333333333333	0.333333333333	0.333333333333	0.666666666667	0.182574185835	0.333333333333	0.333333333333	0.666666666667	0.666666666667
Nor-lwfv-exp-step														1.0	0.666666666667	0.666666666667	1.0	1.0	0.333333333333	0.333333333333	0.666666666667	0.666666666667	0.333333333333	0.333333333333	0.666666666667	0.666666666667	0.666666666667	0.666666666667	0.333333333333	0.666666666667	0.666666666667	0.333333333333	0.666666666667	0.333333333333	0.333333333333	0.333333333333	0.666666666667	0.182574185835	0.333333333333	0.333333333333	0.666666666667	0.666666666667
Nor-lwfv-raw-binom															1.0	1.0	0.666666666667	0.666666666667	0.666666666667	0.666666666667	0.333333333333	0.333333333333	0.666666666667	0.666666666667	0.333333333333	0.333333333333	0.333333333333	0.333333333333	0.0	0.333333333333	0.333333333333	0.666666666667	1.0	0.666666666667	0.666666666667	0.666666666667	1.0	-0.182574185835	0.666666666667	0.666666666667	0.333333333333	0.333333333333
Nor-lwfv-raw-step																1.0	0.666666666667	0.666666666667	0.666666666667	0.666666666667	0.333333333333	0.333333333333	0.666666666667	0.666666666667	0.333333333333	0.333333333333	0.333333333333	0.333333333333	0.0	0.333333333333	0.333333333333	0.666666666667	1.0	0.666666666667	0.666666666667	0.666666666667	1.0	-0.182574185835	0.666666666667	0.666666666667	0.333333333333	0.333333333333
Nor-lwofv-exp-binom																	1.0	1.0	0.333333333333	0.333333333333	0.666666666667	0.666666666667	0.333333333333	0.333333333333	0.666666666667	0.666666666667	0.666666666667	0.666666666667	0.333333333333	0.666666666667	0.666666666667	0.333333333333	0.666666666667	0.333333333333	0.333333333333	0.333333333333	0.666666666667	0.182574185835	0.333333333333	0.333333333333	0.666666666667	0.666666666667
