id,user_id,setting_id,task_id,result_id,score
747,2016211001,1,15,0,3
748,2016211001,1,15,1,0
749,2016211001,1,15,2,0
750,2016211001,1,15,3,0
751,2016211001,1,15,4,0
752,2016211001,1,15,5,0
753,2016211001,1,15,6,0
754,2016211001,1,15,7,0
755,2016211001,1,15,8,0
756,2016211001,1,15,9,0
757,2016211001,1,15,10,0
758,2016211001,1,16,0,4
759,2016211001,1,16,1,0
760,2016211001,1,16,2,0
761,2016211001,1,16,3,0
762,2016211001,1,16,4,0
763,2016211001,1,16,5,0
764,2016211001,1,16,6,0
765,2016211001,1,16,7,0
766,2016211001,1,16,8,0
767,2016211001,1,16,9,0
768,2016211001,1,16,10,0
769,2016211001,1,16,11,0
770,2016211001,1,16,12,0
771,2016211001,1,16,13,0
772,2016211001,1,7,0,3
773,2016211001,1,7,1,0
774,2016211001,1,7,2,0
775,2016211001,1,7,3,0
776,2016211001,1,7,4,0
777,2016211001,1,7,5,0
778,2016211001,1,7,6,0
779,2016211001,1,7,7,0
780,2016211001,1,7,8,0
781,2016211001,1,7,9,0
782,2016211001,1,2,0,3
783,2016211001,1,2,1,0
784,2016211001,1,2,2,0
785,2016211001,1,2,3,0
786,2016211001,1,2,4,0
787,2016211001,1,2,5,0
788,2016211001,1,2,6,0
789,2016211001,1,2,7,0
790,2016211001,1,2,8,0
791,2016211001,1,2,9,0
792,2016211001,1,2,10,0
793,2016211001,1,17,0,3
794,2016211001,1,17,1,0
795,2016211001,1,17,2,0
796,2016211001,1,17,3,0
797,2016211001,1,17,4,0
798,2016211001,1,17,5,0
799,2016211001,1,17,6,0
800,2016211001,1,17,7,0
801,2016211001,1,17,8,0
802,2016211001,1,17,9,0
803,2016211001,1,17,10,0
804,2016211001,1,17,11,0
805,2016211001,1,10,0,3
806,2016211001,1,10,1,0
807,2016211001,1,10,2,0
808,2016211001,1,10,3,0
809,2016211001,1,10,4,0
810,2016211001,1,10,5,0
811,2016211001,1,10,6,0
812,2016211001,1,10,7,0
813,2016211001,1,10,8,0
814,2016211001,1,10,9,0
815,2016211001,1,10,10,0
816,2016211001,1,9,0,4
817,2016211001,1,9,1,0
818,2016211001,1,9,2,0
819,2016211001,1,9,3,0
820,2016211001,1,9,4,0
821,2016211001,1,9,5,0
822,2016211001,1,9,6,0
823,2016211001,1,9,7,0
824,2016211001,1,9,8,0
825,2016211001,1,9,0,2
826,2016211001,1,9,1,0
827,2016211001,1,9,2,0
828,2016211001,1,9,3,0
829,2016211001,1,9,4,0
830,2016211001,1,9,5,0
831,2016211001,1,9,6,0
832,2016211001,1,9,7,0
833,2016211001,1,9,8,0
834,2016211001,1,5,0,4
835,2016211001,1,5,1,0
836,2016211001,1,5,2,0
837,2016211001,1,5,3,0
