id	user_id	setting_id	task_id	result_id	score	results_number
4	2012310575	3	8	5	3	13
5	2012310575	3	8	10	1	13
6	2012310575	3	8	8	1	13
7	2012310575	3	8	7	3	13
8	2012310575	3	8	11	1	13
9	2012310575	3	8	3	3	13
10	2012310575	3	8	12	1	13
11	2012310575	3	8	1	1	13
12	2012310575	3	8	9	1	13
13	2012310575	3	8	0	3	13
14	2012310575	3	8	6	1	13
15	2012310575	3	8	2	1	13
16	2012310575	3	8	4	1	13
17	2012310575	3	19	3	1	10
18	2012310575	3	19	6	1	10
19	2012310575	3	19	1	3	10
20	2012310575	3	19	2	3	10
21	2012310575	3	19	4	3	10
22	2012310575	3	19	0	3	10
23	2012310575	3	19	8	3	10
24	2012310575	3	19	9	1	10
25	2012310575	3	19	5	1	10
26	2012310575	3	19	7	1	10
27	2012310575	3	18	3	1	10
28	2012310575	3	18	0	3	10
29	2012310575	3	18	7	1	10
30	2012310575	3	18	6	3	10
31	2012310575	3	18	1	3	10
32	2012310575	3	18	5	1	10
33	2012310575	3	18	9	1	10
34	2012310575	3	18	4	3	10
35	2012310575	3	18	8	1	10
36	2012310575	3	18	2	3	10
37	2012310575	3	4	10	2	12
38	2012310575	3	4	8	1	12
39	2012310575	3	4	0	2	12
40	2012310575	3	4	6	1	12
41	2012310575	3	4	7	1	12
42	2012310575	3	4	3	1	12
43	2012310575	3	4	9	1	12
44	2012310575	3	4	2	1	12
45	2012310575	3	4	4	1	12
46	2012310575	3	4	5	3	12
47	2012310575	3	4	1	2	12
48	2012310575	3	4	11	1	12
49	2012310575	3	15	6	1	11
50	2012310575	3	15	2	1	11
51	2012310575	3	15	3	1	11
52	2012310575	3	15	9	1	11
53	2012310575	3	15	10	1	11
54	2012310575	3	15	1	1	11
55	2012310575	3	15	0	1	11
56	2012310575	3	15	5	1	11
57	2012310575	3	15	4	1	11
58	2012310575	3	15	8	1	11
59	2012310575	3	15	7	1	11
60	2012310575	3	12	2	1	10
61	2012310575	3	12	8	1	10
62	2012310575	3	12	4	1	10
63	2012310575	3	12	9	1	10
64	2012310575	3	12	7	1	10
65	2012310575	3	12	3	1	10
66	2012310575	3	12	5	1	10
67	2012310575	3	12	6	1	10
68	2012310575	3	12	0	2	10
69	2012310575	3	12	1	2	10
70	2012310575	3	7	3	3	13
71	2012310575	3	7	4	1	13
72	2012310575	3	7	5	1	13
73	2012310575	3	7	8	2	13
74	2012310575	3	7	0	2	13
75	2012310575	3	7	2	1	13
76	2012310575	3	7	11	2	13
77	2012310575	3	7	1	1	13
78	2012310575	3	7	12	2	13
79	2012310575	3	7	10	1	13
80	2012310575	3	7	7	3	13
81	2012310575	3	7	6	2	13
82	2012310575	3	7	9	1	13
83	2012310575	3	9	11	2	12
84	2012310575	3	9	6	3	12
85	2012310575	3	9	1	1	12
86	2012310575	3	9	5	2	12
87	2012310575	3	9	2	1	12
88	2012310575	3	9	10	1	12
89	2012310575	3	9	3	3	12
90	2012310575	3	9	9	2	12
91	2012310575	3	9	7	2	12
92	2012310575	3	9	0	1	12
93	2012310575	3	9	8	1	12
94	2012310575	3	9	4	1	12
95	2012310575	3	17	9	1	10
96	2012310575	3	17	0	2	10
97	2012310575	3	17	2	1	10
98	2012310575	3	17	4	1	10
99	2012310575	3	17	7	1	10
100	2012310575	3	17	6	1	10
101	2012310575	3	17	3	1	10
102	2012310575	3	17	8	1	10
103	2012310575	3	17	5	1	10
104	2012310575	3	17	1	1	10
105	2012310575	3	5	2	2	10
106	2012310575	3	5	3	1	10
107	2012310575	3	5	0	2	10
108	2012310575	3	5	6	1	10
109	2012310575	3	5	4	1	10
110	2012310575	3	5	8	1	10
111	2012310575	3	5	9	1	10
112	2012310575	3	5	7	1	10
113	2012310575	3	5	1	1	10
114	2012310575	3	5	5	1	10
115	2012310575	3	2	1	3	12
116	2012310575	3	2	10	1	12
117	2012310575	3	2	11	3	12
118	2012310575	3	2	2	1	12
119	2012310575	3	2	6	1	12
120	2012310575	3	2	9	1	12
121	2012310575	3	2	8	1	12
122	2012310575	3	2	7	1	12
123	2012310575	3	2	5	1	12
124	2012310575	3	2	4	3	12
125	2012310575	3	2	3	2	12
126	2012310575	3	2	0	2	12
127	2012310575	3	13	5	2	11
128	2012310575	3	13	2	2	11
129	2012310575	3	13	6	1	11
130	2012310575	3	13	7	1	11
131	2012310575	3	13	1	2	11
132	2012310575	3	13	4	2	11
133	2012310575	3	13	10	2	11
134	2012310575	3	13	8	1	11
135	2012310575	3	13	3	2	11
136	2012310575	3	13	9	1	11
137	2012310575	3	13	0	2	11
138	2012310575	3	1	9	2	12
139	2012310575	3	1	10	2	12
140	2012310575	3	1	4	1	12
141	2012310575	3	1	11	1	12
142	2012310575	3	1	2	3	12
143	2012310575	3	1	8	1	12
144	2012310575	3	1	7	1	12
145	2012310575	3	1	1	3	12
146	2012310575	3	1	5	2	12
147	2012310575	3	1	3	1	12
148	2012310575	3	1	0	2	12
149	2012310575	3	1	6	2	12
150	2012310575	3	3	7	1	12
151	2012310575	3	3	2	1	12
152	2012310575	3	3	1	3	12
153	2012310575	3	3	10	1	12
154	2012310575	3	3	8	1	12
155	2012310575	3	3	6	1	12
156	2012310575	3	3	0	1	12
157	2012310575	3	3	4	1	12
158	2012310575	3	3	11	1	12
159	2012310575	3	3	9	2	12
160	2012310575	3	3	5	3	12
161	2012310575	3	3	3	1	12
162	2012310575	3	20	5	1	11
163	2012310575	3	20	10	3	11
164	2012310575	3	20	1	1	11
165	2012310575	3	20	0	3	11
166	2012310575	3	20	7	1	11
167	2012310575	3	20	4	1	11
168	2012310575	3	20	8	1	11
169	2012310575	3	20	6	1	11
170	2012310575	3	20	3	1	11
171	2012310575	3	20	9	1	11
172	2012310575	3	20	2	3	11
173	2012310575	3	16	1	1	19
174	2012310575	3	16	5	2	19
175	2012310575	3	16	15	1	19
176	2012310575	3	16	18	3	19
177	2012310575	3	16	7	1	19
178	2012310575	3	16	3	2	19
179	2012310575	3	16	4	1	19
180	2012310575	3	16	12	2	19
181	2012310575	3	16	6	1	19
182	2012310575	3	16	0	1	19
183	2012310575	3	16	11	1	19
184	2012310575	3	16	2	3	19
185	2012310575	3	16	8	1	19
186	2012310575	3	16	9	1	19
187	2012310575	3	16	14	2	19
188	2012310575	3	16	10	1	19
189	2012310575	3	16	17	1	19
190	2012310575	3	16	13	1	19
191	2012310575	3	16	16	1	19
192	2012310575	3	6	12	1	13
193	2012310575	3	6	1	1	13
194	2012310575	3	6	2	1	13
195	2012310575	3	6	8	2	13
196	2012310575	3	6	5	2	13
197	2012310575	3	6	0	2	13
198	2012310575	3	6	10	1	13
199	2012310575	3	6	3	3	13
200	2012310575	3	6	7	3	13
