id,user_id,setting_id,task_id,score
48,2016211001,1,15,4
49,2016211001,1,16,3
50,2016211001,1,7,3
51,2016211001,1,2,3
52,2016211001,1,17,3
53,2016211001,1,10,3
54,2016211001,1,9,5
55,2016211001,1,9,5
56,2016211001,1,5,4
57,2016211001,1,20,4
58,2016211001,1,11,4
59,2016211001,1,1,4
60,2016211001,1,19,4
61,2016211001,1,4,4
62,2016211001,1,18,4
63,2016211001,1,14,4
64,2016211001,1,6,3
65,2016211001,1,8,4
66,2016211001,1,13,4
67,2016211001,1,12,3
68,2016211001,1,3,4
69,2016211001,2,16,4
70,2016211001,2,18,3
71,2016211001,2,5,3
72,2016211001,2,2,4
73,2016211001,2,14,3
74,2016211001,2,9,3
75,2016211001,2,11,4
76,2016211001,2,8,3
77,2016211001,2,7,3
78,2016211001,2,1,4
79,2016211001,2,3,3
80,2016211001,2,17,3
81,2016211001,2,13,3
82,2016211001,2,10,4
83,2016211001,2,20,3
84,2016211001,2,19,3
85,2016211001,2,6,4
86,2016211001,2,15,4
87,2016211001,2,4,3
88,2016211001,2,12,4
89,2016211001,3,5,3
90,2016211001,3,18,3
91,2016211001,3,6,4
92,2016211001,3,19,4
93,2016211001,3,13,5
94,2016211001,3,17,3
95,2016211001,3,2,3
96,2016211001,3,20,3
97,2016211001,3,8,3
98,2016211001,3,1,4
99,2016211001,3,14,4
100,2016211001,3,15,4
101,2016211001,3,4,4
102,2016211001,3,16,3
103,2016211001,3,7,3
104,2016211001,3,9,3
105,2016211001,3,3,3
106,2016211001,3,10,3
107,2016211001,3,12,3
108,2016211001,3,11,4
109,2016211001,4,10,4
110,2016211001,4,3,3
111,2016211001,4,7,4
112,2016211001,4,16,4
113,2016211001,4,12,3
114,2016211001,4,1,4
115,2016211001,4,2,3
116,2016211001,4,6,3
117,2016211001,4,11,2
118,2016211001,4,18,3
119,2016211001,4,4,3
120,2016211001,4,17,3
121,2016211001,4,15,4
122,2016211001,4,5,4
123,2016211001,4,8,5
124,2016211001,4,19,4
125,2016211001,4,14,3
126,2016211001,1,14,4
127,2016211001,2,14,4
128,2016211001,2,16,4
129,2016211001,3,16,5
130,2016211001,3,14,4
131,2016211001,4,13,4
132,2016211001,4,14,4
133,2016211001,4,16,4
134,2016211001,4,20,3
135,2016211001,4,9,4
136,2016211001,1,16,4
137,2016211001,2,3,4
138,2016211001,3,3,4
139,2016211001,4,3,5
140,2016211001,1,3,4
141,2016011373,1,19,3
142,2016011373,1,8,5
143,2016011373,1,7,5
144,2016011373,1,20,5
145,2016011373,1,1,5
146,2016011373,1,10,5
147,2016011373,1,5,5
148,2016011373,1,12,5
149,2016011373,1,11,5
150,2016011373,1,4,5
151,2016011373,1,9,5
152,2016011373,1,3,5
153,2016011373,1,2,5
154,2016011373,1,13,5
155,2016011373,1,14,5
156,2016011373,1,18,4
157,2016011373,1,15,5
158,2016011373,1,6,5
159,2016011373,1,16,5
160,2016011373,1,17,5
161,2016011286,2,12,5
162,2016011286,2,16,4
163,2016011286,2,11,5
164,2016011286,2,14,4
165,2016011286,2,4,5
166,2016011286,2,1,2
167,2016011286,2,6,3
168,2016011286,2,10,4
169,2016011286,2,13,2
170,2016011286,2,18,4
171,2016011286,2,2,5
172,2016011286,2,3,5
173,2016011286,2,17,2
174,2016011286,2,15,4
175,2016011286,2,8,5
176,2016011286,2,5,4
177,2016011286,2,9,4
178,2016011286,2,20,2
179,2016011286,2,7,4
180,2016011286,2,19,4
181,2013012195,1,3,3
182,2016011336,3,11,3
183,2016011336,3,16,3
184,2016011336,3,17,2
185,2016011336,3,5,4
186,2016011336,3,7,3
187,2016011336,3,8,4
188,2016011336,3,19,5
189,2016011336,3,3,5
190,2016011336,3,15,5
191,2016011336,3,6,5
192,2016011336,3,1,5
193,2016011336,3,20,2
194,2016011336,3,13,5
195,2016011336,3,10,5
196,2016011336,3,14,5
197,2016011336,3,4,5
198,2016011336,3,18,5
199,2016011336,3,9,4
200,2016011336,3,12,4
201,2016011336,3,2,5
202,2015012244,4,18,5
203,2015012244,4,3,5
204,2015012244,4,13,5
205,2015012244,4,8,5
206,2015012244,4,1,5
207,2015012244,4,14,5
208,2015012244,4,4,5
209,2015012244,4,12,5
210,2015012244,4,7,5
211,2015012244,4,7,5
212,2015012244,4,7,5
213,2015012244,4,9,5
214,2015012244,4,6,3
215,2015012244,4,15,5
216,2015012244,4,5,4
217,2015012244,4,16,5
218,2015012244,4,19,4
219,2015012244,4,2,4
220,2015012244,4,17,4
221,2015012244,4,20,5
222,2015012244,4,11,5
223,2015012244,4,10,3
224,2015012244,4,10,3
225,2016211001,1,8,4
226,2016211001,1,20,4
227,2016011386,1,14,4
228,2016011386,1,14,4
229,2016011386,1,1,3
230,2016011386,1,1,3
231,2016011386,1,1,3
232,2016011386,1,1,3
233,2016011386,1,1,3
234,2016011386,1,1,3
235,2016011386,1,1,3
236,2016011386,1,4,3
237,2016011386,1,17,2
238,2016011386,1,15,2
239,2016011386,1,19,2
240,2016011386,1,5,4
241,2016011386,1,20,1
242,2016011386,1,9,3
243,2016011386,1,7,2
244,2016011386,1,18,2
245,2016011386,1,16,3
246,2016011386,1,10,3
247,2016011386,1,8,3
248,2016011386,1,11,3
249,2016011386,1,13,2
250,2016011386,1,6,3
251,2016011386,1,3,3
252,2016011386,1,12,3
253,2016011386,1,2,3
254,2014010588,2,6,3
255,2014010588,2,9,3
256,2014010588,2,2,4
257,2014010588,2,15,3
258,2014010588,2,18,4
259,2014010588,2,17,3
260,2014010588,2,11,3
261,2014010588,2,1,4
262,2014010588,2,16,4
263,2014010588,2,5,3
264,2014010588,2,7,3
265,2014010588,2,3,3
266,2014010588,2,20,3
267,2014010588,2,4,3
268,2014010588,2,14,3
269,2014010588,2,10,3
270,2014010588,2,13,3
271,2014010588,2,19,3
272,2014010588,2,12,3
273,2014010588,2,8,4
274,2016211001,1,4,4
275,2016211001,1,12,3
276,2014080102,3,16,3
277,2014080102,3,19,4
278,2014080102,3,1,4
279,2014080102,3,12,1
280,2014080102,3,7,1
281,2014080102,3,4,3
282,2014080102,3,15,5
283,2014080102,3,20,3
284,2014080102,3,11,4
285,2014080102,3,5,2
286,2014080102,3,2,3
287,2014080102,3,18,2
288,2014080102,3,13,4
289,2014080102,3,10,3
290,2014080102,3,17,1
291,2014080102,3,6,4
292,2014080102,3,3,4
293,2014080102,3,9,3
294,2014080102,3,8,5
295,2014080102,3,14,4
296,2016011396,4,15,4
297,2016011396,4,6,4
298,2016011396,4,3,4
299,2016011396,4,16,4
300,2016011396,4,10,3
301,2016011396,4,17,3
302,2016011396,4,12,3
303,2016011396,4,2,4
304,2016011396,4,9,4
305,2016011396,4,18,4
306,2016011396,4,19,4
307,2016011396,4,8,5
308,2016011396,4,14,5
309,2016011396,4,5,4
310,2016011396,4,13,4
311,2016011396,4,7,5
312,2016011396,4,4,4
313,2016011396,4,20,3
314,2016011396,4,1,3
315,2016011396,4,11,3
316,2016011304,1,11,1
317,2016011304,1,8,5
318,2016011304,1,20,1
319,2016011304,1,9,1
320,2016011304,1,2,1
321,2016011304,1,1,4
322,2016011304,1,13,5
323,2016011304,1,3,4
324,2016011304,1,17,3
325,2016011304,1,15,5
326,2016011304,1,4,1
327,2016011304,1,14,5
328,2016011304,1,5,2
329,2016011304,1,12,3
330,2016011304,1,6,1
331,2016011304,1,7,1
332,2016011304,1,10,1
333,2016011304,1,18,5
334,2016011304,1,19,1
335,2016011304,1,16,4
336,2015010127,2,5,3
337,2015010127,2,17,3
338,2015010127,2,11,3
339,2015010127,2,8,3
340,2015010127,2,3,3
341,2015010127,2,9,3
342,2015010127,2,7,4
343,2015010127,2,1,3
344,2015010127,2,18,3
345,2015010127,2,20,3
346,2015010127,2,12,3
347,2015010127,2,19,4
348,2015010127,2,2,3
349,2015010127,2,4,3
350,2015010127,2,13,4
351,2015010127,2,14,5
352,2015010127,2,15,4
353,2015010127,2,16,4
354,2015010127,2,10,4
355,2015010127,2,6,2
356,2016050024,3,14,5
357,2016050024,3,5,4
358,2016050024,3,17,3
359,2016050024,3,1,5
360,2016050024,3,13,4
361,2016050024,3,19,3
362,2016050024,3,3,5
363,2016050024,3,2,4
364,2016050024,3,11,5
365,2016050024,3,18,5
366,2016050024,3,20,2
367,2016050024,3,4,4
368,2016050024,3,15,5
369,2016050024,3,12,3
370,2016050024,3,16,4
371,2016050024,3,10,5
372,2016050024,3,6,5
373,2016050024,3,9,3
374,2016050024,3,8,5
375,2016050024,3,7,3
376,2016011258,4,10,5
377,2016011258,4,7,3
378,2016011258,4,14,2
379,2016011258,4,5,4
380,2016011258,4,11,2
381,2016011258,4,12,1
382,2016011258,4,15,5
383,2016011258,4,19,4
384,2016011258,4,16,4
385,2016011258,4,4,4
386,2016011258,4,6,5
387,2016011258,4,18,3
388,2016011258,4,1,2
389,2016011258,4,2,4
390,2016011258,4,20,5
391,2016011258,4,17,1
392,2016011258,4,8,5
393,2016011258,4,13,4
394,2016011258,4,9,4
395,2016011258,4,3,3
396,2013011361,1,18,3
397,2013011361,1,11,2
398,2013011361,1,9,4
399,2013011361,1,14,5
400,2013011361,1,8,4
401,2013011361,1,7,2
402,2013011361,1,2,2
403,2013011361,1,10,4
404,2013011361,1,15,2
405,2013011361,1,20,5
406,2013011361,1,4,2
407,2013011361,1,6,2
408,2013011361,1,12,2
409,2013011361,1,17,4
410,2013011361,1,3,4
411,2013011361,1,1,2
412,2013011361,1,16,3
413,2013011361,1,19,4
414,2013011361,1,13,5
415,2013011361,1,5,3
416,2014310617,2,2,4
417,2014310617,2,10,1
418,2014310617,2,15,4
419,2014310617,2,1,3
420,2014310617,2,11,4
421,2014310617,2,5,2
422,2014310617,2,20,2
423,2014310617,2,7,4
424,2014310617,2,12,1
425,2014310617,2,13,5
426,2014310617,2,18,4
427,2014310617,2,3,1
428,2014310617,2,19,4
429,2014310617,2,6,4
430,2014310617,2,16,4
431,2014310617,2,9,4
432,2014310617,2,14,4
433,2014310617,2,4,4
434,2014310617,2,8,2
435,2014310617,2,17,1
436,2014012280,3,2,4
437,2014012280,3,3,5
438,2014012280,3,9,2
439,2014012280,3,13,5
440,2014012280,3,14,5
441,2014012280,3,16,2
442,2014012280,3,16,2
443,2014012280,3,10,4
444,2014012280,3,18,4
445,2014012280,3,1,4
446,2014012280,3,5,4
447,2014012280,3,7,2
448,2014012280,3,4,2
