0017.sogou	1	0.0	385.0	7.0	169.0
0017.sogou	2	0.0	385.0	176.0	343.0
0017.sogou	3	0.0	385.0	350.0	561.0
0017.sogou	4	0.0	385.0	568.0	735.0
0017.sogou	5	0.0	385.0	742.0	863.0
0019.sm	1	7.0	378.0	6.0	134.0
0019.sm	2	7.0	378.0	140.0	248.0
0019.sm	3	7.0	378.0	254.0	382.0
0019.sm	4	7.0	378.0	388.0	496.0
0019.sm	5	7.0	378.0	502.0	630.0
0007.sogou	1	0.0	385.0	7.0	222.0
0007.sogou	2	0.0	385.0	229.0	378.0
0007.sogou	3	0.0	385.0	385.0	502.0
0007.sogou	4	0.0	385.0	508.0	700.0
0007.sogou	5	0.0	385.0	707.0	828.0
0044.baidu	1	0.0	385.0	10.0	154.0
0044.baidu	2	0.0	385.0	164.0	286.0
0044.baidu	3	0.0	385.0	296.0	442.0
0044.baidu	4	0.0	385.0	452.0	741.0
0044.baidu	5	0.0	385.0	751.0	891.0
0004.haosou	1	0.0	385.0	6.0	211.0
0004.haosou	2	0.0	385.0	217.0	376.0
0004.haosou	3	0.0	385.0	382.0	534.0
0004.haosou	4	0.0	385.0	540.0	856.75
0004.haosou	5	0.0	385.0	862.75	1014.75
0001.haosou	1	0.0	385.0	6.0	224.0
0001.haosou	2	0.0	385.0	230.0	448.0
0001.haosou	3	0.0	385.0	454.0	648.0
0001.haosou	4	0.0	385.0	654.0	970.75
0001.haosou	5	0.0	385.0	976.75	1172.75
0039.haosou	1	0.0	385.0	6.0	227.0
0039.haosou	2	0.0	385.0	233.0	408.0
0039.haosou	3	0.0	385.0	414.0	693.0
0039.haosou	4	0.0	385.0	699.0	1015.75
0039.haosou	5	0.0	385.0	1021.75	1180.75
0046.haosou	1	0.0	385.0	6.0	281.0
0046.haosou	2	0.0	385.0	287.0	509.0
0046.haosou	3	0.0	385.0	515.0	690.0
0046.haosou	4	0.0	385.0	696.0	1012.75
0046.haosou	5	0.0	385.0	1018.75	1422.75
0044.sm	1	7.0	378.0	6.0	442.0
0044.sm	2	7.0	378.0	448.0	620.0
0044.sm	3	7.0	378.0	626.0	762.0
0044.sm	4	7.0	378.0	768.0	893.0
0044.sm	5	7.0	378.0	899.0	1027.0
0049.sm	1	0.0	385.0	74.0	323.0
0049.sm	2	7.0	378.0	329.0	678.0
0049.sm	3	7.0	378.0	684.0	809.0
0049.sm	4	7.0	378.0	815.0	1095.0
0049.sm	5	7.0	378.0	1101.0	1309.0
0029.haosou	1	0.0	385.0	6.0	855.0
0029.haosou	2	0.0	385.0	861.0	1044.0
0029.haosou	3	0.0	385.0	1050.0	1222.0
0029.haosou	4	0.0	385.0	1227.0	1543.75
0029.haosou	5	0.0	385.0	1549.75	1820.75
0025.sogou	1	0.0	385.0	370.0	565.0
0025.sogou	2	0.0	385.0	572.0	758.0
0025.sogou	3	0.0	385.0	765.0	907.0
0025.sogou	4	0.0	385.0	914.0	1076.0
0025.sogou	5	0.0	385.0	1083.0	1344.0
0020.sogou	1	0.0	385.0	7.0	292.0
0020.sogou	2	0.0	385.0	299.0	441.0
0020.sogou	3	0.0	385.0	448.0	683.0
0020.sogou	4	0.0	385.0	690.0	855.0
0020.sogou	5	0.0	385.0	861.0	1146.0
0014.baidu	1	0.0	385.0	10.0	132.0
0014.baidu	2	0.0	385.0	142.0	494.0
0014.baidu	3	0.0	385.0	504.0	716.0
0014.baidu	4	0.0	385.0	726.0	870.0
0014.baidu	5	0.0	385.0	880.0	1024.0
0015.haosou	1	0.0	385.0	6.0	168.0
0015.haosou	2	0.0	385.0	174.0	525.0
0015.haosou	3	0.0	385.0	531.0	665.0
0015.haosou	4	0.0	385.0	671.0	792.0
0015.haosou	5	0.0	385.0	798.0	1007.0
0040.sm	1	7.0	378.0	180.0	309.0
0040.sm	2	7.0	378.0	315.0	464.0
0040.sm	3	7.0	378.0	470.0	628.0
0040.sm	4	7.0	378.0	634.0	783.0
0040.sm	5	7.0	378.0	789.0	938.0
0008.sogou	1	0.0	385.0	7.0	152.0
0008.sogou	2	0.0	385.0	159.0	324.0
0008.sogou	3	0.0	385.0	330.0	473.0
0008.sogou	4	0.0	385.0	479.0	622.0
0008.sogou	5	0.0	385.0	628.0	749.0
0011.haosou	1	0.0	385.0	6.0	366.0
0011.haosou	2	0.0	385.0	372.0	544.0
0011.haosou	3	0.0	385.0	550.0	850.0
0011.haosou	4	0.0	385.0	856.0	1176.0
0011.haosou	5	0.0	385.0	1182.0	1372.0
0007.haosou	1	0.0	385.0	6.0	189.0
0007.haosou	2	0.0	385.0	195.0	386.0
0007.haosou	3	0.0	385.0	392.0	708.75
0007.haosou	4	0.0	385.0	714.75	873.75
0007.haosou	5	0.0	385.0	879.75	1070.75
0022.baidu	1	0.0	385.0	10.0	154.0
0022.baidu	2	0.0	385.0	164.0	308.0
0022.baidu	3	0.0	385.0	318.0	540.0
0022.baidu	4	0.0	385.0	550.0	691.0
0022.baidu	5	0.0	385.0	701.0	845.0
0012.sm	1	7.0	378.0	197.0	386.0
0012.sm	2	0.0	385.0	392.0	543.0
0012.sm	3	7.0	378.0	549.0	678.0
0012.sm	4	7.0	378.0	684.0	1099.0
0012.sm	5	7.0	378.0	1105.0	1230.0
0025.sm	1	7.0	378.0	697.0	1024.0
0025.sm	2	7.0	378.0	1030.0	1219.0
0025.sm	3	7.0	378.0	1225.0	1561.0
0025.sm	4	7.0	378.0	1567.0	1767.375
0025.sm	5	7.0	378.0	1773.375	1881.375
0023.sogou	1	0.0	385.0	7.0	218.0
0023.sogou	2	0.0	385.0	225.0	434.0
0023.sogou	3	0.0	385.0	441.0	584.0
0023.sogou	4	0.0	385.0	590.0	711.0
0023.sogou	5	0.0	385.0	717.0	783.0
