Metric	0001:走路软件	0002:49天之同人	0003:全民大学霸	0004:广西流浪汉月半小夜曲快手	0005:提现到挂失的银行卡里怎么办	0006:中国新歌声主题曲	0007:宝塔镇河妖的下一句是什么	0008:球球大作战兑换码礼品	0009:好看的小说	0010:wipe cache partition	0011:美女图片	0012:oppor9	0013:拔罐之后皮肤很黑是什么情况	0014:小说排行榜	0015:江疏影	0016:闵行区农业银行	0017:金贝辛格	0018:海南碧桂园	0019:长江水文网	0020:梦见失去工作	0021:春江花月夜原文	0022:天天向商软件官方下载	0023:笃字的拼音	0024:天气预报济南	0025:雪佛兰	0026:严东生逝世	0027:美国神婆	0028:光头强动画片全集	0029:炒饼的做法	0030:腾讯电脑管家	0031:果糖的主要功能	0032:上海商学院志愿者服务网	0033:note7国行爆炸	0034:海马s5	0035:申通快递	0036:比萨斜塔	0037:合肥到成都飞机票	0038:广州市第八人民医院	0039:青岛职业技术学院	0040:深圳三和人才市场招聘	0041:一级建造师注册网	0042:韩剧步步惊心丽	0043:我的世界籽岷	0044:关于秋天的作文500字	0045:绿地集团	0046:百度	0047:一路顺疯	0048:罪恶成魔	0049:大乐透	0050:下面痒是怎么回事
Q@0005	P<M=|0.494|0.481	CONSIST|0.083|0.095	CONSIST|0.916|0.688	CONSIST|0.498|0.98	CONSIST|0.775|0.2	CONSIST|0.577|0.686	CONSIST|0.99|0.482	P=M>|0.123|0.033	CONSIST|0.735|0.912	P<M>|0.629|0.45	CONSIST|0.913|0.771	P>M=|0.8|0.779	CONSIST|0.909|0.747	CONSIST|0.634|0.774	CONSIST|0.827|0.881	P<M=|0.821|0.843	P<M=|0.848|0.881	P>M=|0.916|0.926	P=M>|0.607|0.539	CONSIST|0.723|0.457	CONSIST|1.0|0.926	CONSIST|0.866|0.523	P=M>|0.896|0.698	P=M<|0.812|0.913	CONSIST|0.903|0.825	CONSIST|0.887|0.775	CONSIST|0.551|0.613	CONSIST|0.85|0.653	CONSIST|0.928|0.611	P=M>|0.877|0.675	CONSIST|0.533|0.546	CONSIST|0.539|0.471	P=M>|0.968|0.864	CONSIST|0.928|0.928	P=M<|0.776|0.844	CONSIST|0.692|0.873	CONSIST|0.99|0.707	CONSIST|0.873|0.733	CONSIST|0.864|0.823	CONSIST|0.576|0.835	CONSIST|0.616|0.382	CONSIST|0.842|0.842	P<M=|0.896|0.849	CONSIST|0.853|0.686	CONSIST|0.649|0.833	CONSIST|0.78|0.78	P>M=|0.852|0.825	P=M>|0.988|0.874	CONSIST|0.81|0.797	CONSIST|0.943|0.635
AP@0005	CONSIST|0.543|0.6	CONSIST|0.083|0.111	P>M=|1.0|1.0	CONSIST|0.543|1.0	CONSIST|0.8|0.2	CONSIST|0.643|0.8	CONSIST|1.0|0.643	P=M>|0.13|0.04	P<M=|1.0|1.0	P<M>|0.8|0.55	P>M=|1.0|1.0	P>M=|1.0|1.0	P>M=|1.0|1.0	P<M=|1.0|1.0	P<M=|1.0|1.0	P<M=|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	P=M<|0.8|1.0	CONSIST|1.0|0.543	P>M=|1.0|1.0	CONSIST|1.0|0.543	P=M>|1.0|0.76	CONSIST|1.0|1.0	P>M=|1.0|1.0	P>M=|1.0|1.0	P<M>|1.0|0.8	CONSIST|1.0|0.8	CONSIST|1.0|0.643	P=M>|1.0|0.8	P=M<|0.543|0.8	CONSIST|0.643|0.483	CONSIST|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	CONSIST|0.8|1.0	CONSIST|1.0|0.76	P>M=|1.0|1.0	CONSIST|1.0|1.0	P<M=|1.0|1.0	CONSIST|0.76|0.42	CONSIST|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	P<M=|1.0|1.0	CONSIST|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|0.8
AP@0003	CONSIST|0.389|1.0	P=M<|0.0|0.111	P>M=|1.0|1.0	CONSIST|0.389|1.0	CONSIST|1.0|0.333	CONSIST|0.556|1.0	CONSIST|1.0|0.556	CONSIST|0.0|0.0	P<M=|1.0|1.0	P<M>|1.0|0.667	P>M=|1.0|1.0	P>M=|1.0|1.0	P>M=|1.0|1.0	P<M=|1.0|1.0	P<M=|1.0|1.0	P<M=|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|0.389	P>M=|1.0|1.0	CONSIST|1.0|0.389	CONSIST|1.0|1.0	CONSIST|1.0|1.0	P>M=|1.0|1.0	P>M=|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|0.556	CONSIST|1.0|1.0	P=M<|0.389|1.0	P>M=|0.556|0.556	CONSIST|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	P<M=|1.0|1.0	CONSIST|1.0|0.333	CONSIST|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	P<M=|1.0|1.0	CONSIST|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	P>M=|1.0|1.0
MSnDCG@0005	P<M=|0.565|0.545	CONSIST|0.138|0.16	CONSIST|0.841|0.615	CONSIST|0.564|0.912	CONSIST|0.771|0.339	P<M=|0.653|0.701	CONSIST|0.956|0.524	P=M>|0.263|0.085	CONSIST|0.646|0.875	P<M>|0.665|0.562	CONSIST|0.88|0.696	P>M=|0.708|0.679	CONSIST|0.871|0.71	CONSIST|0.492|0.67	P<M=|0.76|0.788	P<M=|0.702|0.751	P<M=|0.772|0.788	P>M=|0.846|0.885	P=M>|0.597|0.431	CONSIST|0.674|0.541	CONSIST|1.0|0.885	CONSIST|0.799|0.573	CONSIST|0.759|0.739	P=M<|0.772|0.88	CONSIST|0.836|0.723	CONSIST|0.828|0.681	CONSIST|0.415|0.562	CONSIST|0.781|0.69	CONSIST|0.851|0.694	P=M>|0.785|0.636	P=M>|0.617|0.508	P>M=|0.607|0.634	P=M>|0.908|0.78	CONSIST|0.851|0.851	P=M<|0.655|0.731	CONSIST|0.673|0.815	CONSIST|0.956|0.741	CONSIST|0.815|0.682	CONSIST|0.78|0.757	CONSIST|0.456|0.738	CONSIST|0.593|0.502	CONSIST|0.731|0.731	CONSIST|0.759|0.809	CONSIST|0.794|0.595	CONSIST|0.541|0.756	CONSIST|0.668|0.668	CONSIST|0.775|0.723	P=M>|0.944|0.855	CONSIST|0.705|0.695	CONSIST|0.968|0.681
RBP	P<M=|0.088|0.06	CONSIST|0.011|0.011	P>M=|0.137|0.112	P<M=|0.111|0.149	CONSIST|0.118|0.037	P<M=|0.057|0.059	CONSIST|0.16|0.089	CONSIST|0.031|0.01	P<M=|0.102|0.137	P<M=|0.104|0.082	P>M=|0.147|0.113	P>M=|0.114|0.114	P>M=|0.114|0.101	P<M=|0.069|0.092	P<M=|0.124|0.126	P<M=|0.115|0.126	P<M=|0.125|0.126	P>M=|0.137|0.148	CONSIST|0.095|0.08	P>M=|0.123|0.11	P>M=|0.17|0.148	P>M=|0.137|0.112	CONSIST|0.117|0.116	CONSIST|0.135|0.147	P>M=|0.137|0.114	P>M=|0.136|0.114	P<M=|0.081|0.096	P>M=|0.104|0.093	P>M=|0.138|0.113	CONSIST|0.126|0.094	CONSIST|0.122|0.081	P>M=|0.091|0.093	CONSIST|0.149|0.126	CONSIST|0.138|0.138	CONSIST|0.139|0.15	P<M=|0.095|0.126	P>M=|0.16|0.115	P>M=|0.126|0.113	CONSIST|0.126|0.124	P<M=|0.092|0.139	P>M=|0.082|0.069	CONSIST|0.115|0.115	P<M=|0.117|0.135	P>M=|0.136|0.101	P<M=|0.091|0.114	CONSIST|0.117|0.117	P>M=|0.125|0.114	CONSIST|0.115|0.113	CONSIST|0.104|0.104	P>M=|0.136|0.093
AP	P<M=|0.16|0.176	CONSIST|0.083|0.111	P>M=|0.25|0.25	CONSIST|0.17|0.313	CONSIST|0.308|0.077	CONSIST|0.23|0.286	CONSIST|0.263|0.169	CONSIST|0.072|0.022	P<M=|0.25|0.25	P<M>|0.235|0.162	P>M=|0.25|0.25	P>M=|0.25|0.25	P>M=|0.25|0.25	P<M=|0.25|0.25	P<M=|0.25|0.25	P<M=|0.263|0.263	P<M=|0.25|0.25	P>M=|0.25|0.25	P=M<|0.235|0.294	CONSIST|0.278|0.151	P>M=|0.25|0.25	CONSIST|0.357|0.194	P=M>|0.294|0.224	CONSIST|0.25|0.25	P>M=|0.25|0.25	P>M=|0.294|0.294	P<M>|0.263|0.21	CONSIST|0.278|0.222	CONSIST|0.263|0.169	P=M>|0.263|0.21	P=M<|0.151|0.222	P>M=|0.189|0.142	CONSIST|0.294|0.294	CONSIST|0.25|0.25	CONSIST|0.25|0.25	CONSIST|0.222|0.278	CONSIST|0.263|0.2	P>M=|0.25|0.25	CONSIST|0.263|0.263	P<M=|0.263|0.263	CONSIST|0.253|0.14	CONSIST|0.25|0.25	P<M=|0.25|0.25	P>M=|0.25|0.25	P<M=|0.25|0.25	CONSIST|0.25|0.25	P>M=|0.25|0.25	CONSIST|0.25|0.25	CONSIST|0.25|0.25	CONSIST|0.294|0.235
P-plus	CONSIST|0.429|0.75	CONSIST|0.25|0.286	CONSIST|1.0|0.625	CONSIST|0.5|1.0	P>M=|1.0|1.0	P<M=|1.0|1.0	CONSIST|1.0|0.75	P=M>|0.308|0.167	CONSIST|0.75|1.0	P<M=|0.778|0.813	P>M=|1.0|1.0	CONSIST|1.0|0.778	CONSIST|0.869|0.607	CONSIST|0.75|1.0	P<M=|1.0|1.0	P<M=|0.813|0.813	P<M=|1.0|1.0	P>M=|1.0|1.0	P=M>|1.0|0.6	CONSIST|0.625|0.479	P>M=|1.0|1.0	CONSIST|0.813|0.5	CONSIST|1.0|1.0	P=M<|0.778|1.0	P>M=|1.0|1.0	CONSIST|1.0|0.813	CONSIST|0.6|1.0	CONSIST|1.0|0.803	P>M=|1.0|1.0	CONSIST|1.0|1.0	P=M<|0.5|0.75	P>M=|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	P=M<|0.85|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|0.708	CONSIST|1.0|1.0	CONSIST|0.6|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	P<M=|1.0|1.0	CONSIST|0.813|0.75	CONSIST|0.625|1.0	CONSIST|1.0|1.0	P>M=|1.0|1.0	P=M>|1.0|0.75	CONSIST|1.0|1.0	CONSIST|1.0|0.75
NCUrb,BR	P<M=|0.195|0.197	CONSIST|0.088|0.1	CONSIST|0.324|0.24	CONSIST|0.205|0.397	CONSIST|0.37|0.103	P<M=|0.263|0.312	CONSIST|0.36|0.18	P=M>|0.081|0.022	CONSIST|0.26|0.323	P<M>|0.25|0.184	P>M=|0.323|0.274	P>M=|0.284|0.275	CONSIST|0.319|0.26	CONSIST|0.225|0.275	P<M=|0.293|0.312	P<M=|0.298|0.306	P<M=|0.301|0.312	P>M=|0.325|0.327	CONSIST|0.244|0.209	CONSIST|0.269|0.174	P>M=|0.353|0.327	CONSIST|0.381|0.235	P=M>|0.351|0.28	CONSIST|0.285|0.323	P>M=|0.32|0.293	P>M=|0.346|0.302	P<M=|0.201|0.231	CONSIST|0.32|0.25	CONSIST|0.339|0.229	P=M>|0.32|0.253	CONSIST|0.203|0.21	P>M=|0.217|0.194	CONSIST|0.377|0.338	CONSIST|0.329|0.329	CONSIST|0.275|0.301	CONSIST|0.268|0.329	CONSIST|0.36|0.265	CONSIST|0.309|0.258	CONSIST|0.316|0.3	CONSIST|0.209|0.306	CONSIST|0.269|0.172	CONSIST|0.299|0.299	P<M=|0.318|0.3	CONSIST|0.3|0.242	CONSIST|0.227|0.296	CONSIST|0.278|0.278	P>M=|0.302|0.293	CONSIST|0.349|0.306	CONSIST|0.288|0.283	CONSIST|0.366|0.252
Hit@0005	P<M=|1.0|1.0	CONSIST|1.0|1.0	P>M=|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	P<M=|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	P>M=|1.0|1.0	P>M=|1.0|1.0	P<M=|1.0|1.0	P<M=|1.0|1.0	P<M=|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	P>M=|1.0|1.0	P>M=|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	P>M=|1.0|1.0	P>M=|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	P<M=|1.0|1.0	CONSIST|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	P>M=|1.0|1.0
pbg_tbg_modi	CONSIST|6.525|7.611	CONSIST|1.212|1.206	CONSIST|13.988|12.001	CONSIST|10.511|15.114	CONSIST|13.047|5.028	CONSIST|7.263|8.609	CONSIST|14.804|8.679	P=M>|3.807|1.413	CONSIST|6.616|14.411	P<M>|10.498|8.485	CONSIST|15.328|13.823	P>M<|9.846|11.459	CONSIST|11.274|10.251	CONSIST|9.78|12.477	P<M=|11.603|12.193	P<M>|12.118|10.633	CONSIST|9.142|11.0	CONSIST|14.387|12.406	P=M>|10.045|6.791	CONSIST|11.385|10.044	CONSIST|18.811|12.48	CONSIST|13.962|10.581	CONSIST|13.769|13.829	CONSIST|14.448|13.891	CONSIST|13.146|10.887	CONSIST|10.864|9.385	CONSIST|8.522|9.515	CONSIST|12.606|10.852	CONSIST|14.304|9.809	CONSIST|11.491|11.709	CONSIST|9.671|9.606	P>M=|12.215|11.762	CONSIST|10.799|10.558	CONSIST|11.608|11.469	P=M>|15.729|13.163	CONSIST|9.924|11.978	CONSIST|15.967|14.675	CONSIST|13.663|9.133	CONSIST|13.89|13.614	CONSIST|9.454|11.833	CONSIST|11.665|7.752	CONSIST|13.103|12.545	CONSIST|12.603|14.025	CONSIST|12.857|11.122	CONSIST|11.319|11.98	P=M>|13.304|11.711	CONSIST|13.759|12.552	CONSIST|13.035|12.985	CONSIST|12.992|12.518	CONSIST|15.361|10.217
Hit@0003	P<M=|1.0|1.0	P=M<|0.0|1.0	P>M=|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	CONSIST|0.0|0.0	P<M=|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	P>M=|1.0|1.0	P>M=|1.0|1.0	P<M=|1.0|1.0	P<M=|1.0|1.0	P<M=|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	P>M=|1.0|1.0	P>M=|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	P>M=|1.0|1.0	P>M=|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	P<M=|1.0|1.0	CONSIST|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	P>M=|1.0|1.0
nERR@0005	CONSIST|0.455|0.742	CONSIST|0.102|0.136	CONSIST|0.973|0.638	CONSIST|0.527|0.997	CONSIST|0.988|0.785	CONSIST|0.818|0.873	CONSIST|0.999|0.697	P=M>|0.201|0.07	CONSIST|0.776|0.972	P<M=|0.794|0.791	CONSIST|0.974|0.922	CONSIST|0.93|0.797	CONSIST|0.832|0.636	CONSIST|0.688|0.91	P<M=|0.945|0.966	P<M=|0.832|0.837	P<M=|0.956|0.966	P>M=|0.988|0.975	P=M>|0.949|0.605	CONSIST|0.677|0.472	P>M=|1.0|0.975	CONSIST|0.842|0.532	CONSIST|0.98|0.962	P=M<|0.808|0.974	P>M=|0.971|0.947	CONSIST|0.965|0.817	CONSIST|0.636|0.956	CONSIST|0.935|0.793	CONSIST|0.988|0.92	CONSIST|0.962|0.935	P=M<|0.535|0.723	P>M=|0.883|0.911	CONSIST|0.996|0.959	CONSIST|0.988|0.988	P=M<|0.87|0.994	P<M=|0.942|0.96	P>M=|0.999|0.976	CONSIST|0.96|0.765	CONSIST|0.959|0.939	CONSIST|0.65|0.982	CONSIST|0.904|0.851	CONSIST|0.953|0.953	P<M=|0.98|0.949	CONSIST|0.84|0.741	CONSIST|0.618|0.949	CONSIST|0.966|0.966	P>M=|0.959|0.947	P=M>|0.995|0.818	CONSIST|0.94|0.925	CONSIST|0.975|0.78
P@0005	P<M>|0.8|0.6	CONSIST|0.2|0.2	P>M=|1.0|1.0	CONSIST|0.8|1.0	CONSIST|0.8|0.4	P<M=|0.8|0.8	CONSIST|1.0|0.8	P=M>|0.4|0.2	P<M=|1.0|1.0	P<M>|0.8|0.6	P>M=|1.0|1.0	P>M=|1.0|1.0	P>M=|1.0|1.0	P<M=|1.0|1.0	P<M=|1.0|1.0	P<M=|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	P=M<|0.8|1.0	CONSIST|1.0|0.8	P>M=|1.0|1.0	CONSIST|1.0|0.8	P=M>|1.0|0.8	CONSIST|1.0|1.0	P>M=|1.0|1.0	P>M=|1.0|1.0	P<M>|1.0|0.8	CONSIST|1.0|0.8	CONSIST|1.0|0.8	P=M>|1.0|0.8	CONSIST|0.8|0.8	CONSIST|0.8|0.6	CONSIST|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	CONSIST|0.8|1.0	CONSIST|1.0|0.8	P>M=|1.0|1.0	CONSIST|1.0|1.0	P<M=|1.0|1.0	CONSIST|0.8|0.6	CONSIST|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	P<M=|1.0|1.0	CONSIST|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|0.8
P@0003	CONSIST|0.667|1.0	P=M<|0.0|0.333	P>M=|1.0|1.0	CONSIST|0.667|1.0	CONSIST|1.0|0.333	CONSIST|0.667|1.0	CONSIST|1.0|0.667	CONSIST|0.0|0.0	P<M=|1.0|1.0	P<M>|1.0|0.667	P>M=|1.0|1.0	P>M=|1.0|1.0	P>M=|1.0|1.0	P<M=|1.0|1.0	P<M=|1.0|1.0	P<M=|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|0.667	P>M=|1.0|1.0	CONSIST|1.0|0.667	CONSIST|1.0|1.0	CONSIST|1.0|1.0	P>M=|1.0|1.0	P>M=|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|0.667	CONSIST|1.0|1.0	P=M<|0.667|1.0	P>M=|0.667|0.667	CONSIST|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	P<M=|1.0|1.0	CONSIST|1.0|0.333	CONSIST|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	P<M=|1.0|1.0	CONSIST|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	P>M=|1.0|1.0
nERR@0003	CONSIST|0.393|0.764	P=M<|0.0|0.136	CONSIST|0.968|0.606	CONSIST|0.505|1.0	CONSIST|1.0|0.798	CONSIST|0.775|0.866	CONSIST|1.0|0.638	CONSIST|0.0|0.0	CONSIST|0.755|0.968	P<M=|0.787|0.771	CONSIST|0.968|0.879	CONSIST|0.908|0.787	CONSIST|0.832|0.596	CONSIST|0.654|0.879	P<M=|0.936|0.968	P<M=|0.835|0.835	P<M=|0.925|0.968	P>M=|0.986|0.968	P=M>|0.945|0.552	CONSIST|0.642|0.425	P>M=|1.0|0.968	CONSIST|0.835|0.505	CONSIST|0.986|0.968	P=M<|0.787|0.968	P>M=|0.968|0.925	CONSIST|0.947|0.793	CONSIST|0.611|0.952	CONSIST|0.921|0.799	CONSIST|0.986|0.904	CONSIST|0.947|0.925	P=M<|0.505|0.697	P>M<|0.833|0.904	P=M>|1.0|0.947	CONSIST|0.986|0.986	P=M<|0.865|0.991	P<M=|0.947|0.947	P>M=|1.0|0.972	CONSIST|0.947|0.739	CONSIST|0.947|0.908	CONSIST|0.611|0.978	CONSIST|0.908|0.798	CONSIST|0.947|0.947	P<M=|0.986|0.936	CONSIST|0.835|0.697	CONSIST|0.606|0.925	CONSIST|0.961|0.961	P>M=|0.947|0.925	P=M>|1.0|0.798	CONSIST|0.925|0.908	CONSIST|0.96|0.766
nDCG@0005	P<M>|0.631|0.57	CONSIST|0.138|0.174	CONSIST|0.826|0.639	CONSIST|0.626|0.919	CONSIST|0.785|0.281	CONSIST|0.575|0.667	CONSIST|0.96|0.479	P=M>|0.245|0.077	CONSIST|0.646|0.854	P<M>|0.672|0.585	CONSIST|0.86|0.648	P>M=|0.667|0.685	CONSIST|0.901|0.754	CONSIST|0.468|0.621	CONSIST|0.719|0.772	P<M=|0.732|0.779	P<M=|0.748|0.772	P>M=|0.847|0.866	P=M>|0.546|0.409	CONSIST|0.714|0.579	CONSIST|1.0|0.866	CONSIST|0.826|0.639	CONSIST|0.767|0.726	P=M<|0.772|0.86	CONSIST|0.819|0.701	CONSIST|0.807|0.701	CONSIST|0.415|0.533	P>M=|0.734|0.701	CONSIST|0.854|0.632	P=M>|0.767|0.621	P=M>|0.679|0.492	P>M=|0.536|0.575	P=M>|0.913|0.76	CONSIST|0.854|0.854	P=M<|0.675|0.732	CONSIST|0.659|0.792	CONSIST|0.96|0.742	CONSIST|0.792|0.659	CONSIST|0.76|0.714	CONSIST|0.455|0.723	CONSIST|0.555|0.432	CONSIST|0.714|0.714	P<M=|0.767|0.766	CONSIST|0.819|0.573	CONSIST|0.568|0.731	CONSIST|0.636|0.636	CONSIST|0.754|0.701	P=M>|0.947|0.877	CONSIST|0.682|0.653	CONSIST|0.938|0.686
NCUgu,P	P<M=|0.16|0.147	CONSIST|0.063|0.083	P>M=|0.3|0.25	CONSIST|0.18|0.351	CONSIST|0.323|0.097	P<M=|0.248|0.294	CONSIST|0.318|0.146	P=M>|0.096|0.018	CONSIST|0.214|0.286	P<M>|0.243|0.176	CONSIST|0.277|0.213	P>M=|0.238|0.238	P>M=|0.256|0.231	CONSIST|0.188|0.25	P<M=|0.229|0.229	P<M=|0.227|0.25	P<M=|0.225|0.225	P>M=|0.261|0.283	CONSIST|0.258|0.226	CONSIST|0.256|0.161	P>M=|0.3|0.26	CONSIST|0.353|0.193	CONSIST|0.256|0.246	CONSIST|0.255|0.277	P>M=|0.267|0.222	CONSIST|0.316|0.263	P<M=|0.194|0.222	P>M=|0.281|0.25	CONSIST|0.279|0.188	P=M>|0.275|0.2	CONSIST|0.184|0.175	P>M=|0.211|0.203	CONSIST|0.325|0.275	CONSIST|0.25|0.25	CONSIST|0.24|0.26	CONSIST|0.205|0.282	CONSIST|0.28|0.188	P>M=|0.256|0.233	CONSIST|0.268|0.268	CONSIST|0.195|0.293	CONSIST|0.227|0.153	CONSIST|0.244|0.244	P<M=|0.233|0.279	CONSIST|0.273|0.204	CONSIST|0.21|0.263	CONSIST|0.263|0.263	P>M=|0.262|0.238	CONSIST|0.25|0.25	CONSIST|0.243|0.243	CONSIST|0.353|0.235
nDCG@0003	CONSIST|0.521|0.74	P=M<|0.0|0.174	CONSIST|0.873|0.62	CONSIST|0.62|1.0	CONSIST|1.0|0.38	CONSIST|0.5|0.69	CONSIST|1.0|0.413	CONSIST|0.0|0.0	CONSIST|0.667|0.873	P<M>|0.747|0.633	CONSIST|0.873|0.587	P>M<|0.667|0.747	CONSIST|0.941|0.681	CONSIST|0.46|0.587	CONSIST|0.747|0.873	P<M=|0.873|0.873	CONSIST|0.713|0.873	P>M=|0.92|0.873	P=M>|0.595|0.345	CONSIST|0.667|0.493	CONSIST|1.0|0.873	CONSIST|0.873|0.62	CONSIST|0.92|0.873	P=M<|0.747|0.873	CONSIST|0.873|0.713	CONSIST|0.793|0.713	CONSIST|0.44|0.63	P>M<|0.725|0.811	CONSIST|0.92|0.62	P=M>|0.793|0.713	P=M>|0.62|0.54	P>M<|0.46|0.62	P=M>|1.0|0.793	CONSIST|0.92|0.92	CONSIST|0.785|0.82	P<M=|0.793|0.793	CONSIST|1.0|0.84	CONSIST|0.793|0.62	P=M>|0.793|0.667	CONSIST|0.44|0.785	CONSIST|0.667|0.38	CONSIST|0.793|0.793	P<M>|0.92|0.747	CONSIST|0.873|0.54	CONSIST|0.62|0.713	CONSIST|0.69|0.69	CONSIST|0.793|0.713	P=M>|1.0|0.84	CONSIST|0.713|0.667	CONSIST|0.862|0.725
